story_id,condition,source,sampled_norm
YS2008-COFFEE-neutral,neutral,YS2008,0.1333
YS2008-COFFEE-accidental,accidental,YS2008,0.3167
YS2008-COFFEE-attempted,attempted,YS2008,0.1833
YS2008-COFFEE-intentional,intentional,YS2008,0.4167
YS2008-LAB-neutral,neutral,YS2008,0.1667
YS2008-LAB-accidental,accidental,YS2008,0.1667
YS2008-LAB-attempted,attempted,YS2008,0.25
YS2008-LAB-intentional,intentional,YS2008,0.1667
YS2008-JELLYFISH-neutral,neutral,YS2008,0.3333
YS2008-JELLYFISH-accidental,accidental,YS2008,0.1833
YS2008-JELLYFISH-attempted,attempted,YS2008,0.2167
YS2008-JELLYFISH-intentional,intentional,YS2008,0.3167
YS2008-BRIDGE-neutral,neutral,YS2008,0.2
YS2008-BRIDGE-accidental,accidental,YS2008,0.1333
YS2008-BRIDGE-attempted,attempted,YS2008,0.1667
YS2008-BRIDGE-intentional,intentional,YS2008,0.0833
YS2008-POOL-neutral,neutral,YS2008,0.15
YS2008-POOL-accidental,accidental,YS2008,0.15
YS2008-POOL-attempted,attempted,YS2008,0.1833
YS2008-POOL-intentional,intentional,YS2008,0.0667
YS2008-MUSHROOMS-neutral,neutral,YS2008,0.4167
YS2008-MUSHROOMS-accidental,accidental,YS2008,0.25
YS2008-MUSHROOMS-attempted,attempted,YS2008,0.3333
YS2008-MUSHROOMS-intentional,intentional,YS2008,0.2167
YS2008-LATEX-neutral,neutral,YS2008,0.15
YS2008-LATEX-accidental,accidental,YS2008,0.2667
YS2008-LATEX-attempted,attempted,YS2008,0.2
YS2008-LATEX-intentional,intentional,YS2008,0.2833
YS2008-MOTORBOAT-neutral,neutral,YS2008,0.15
YS2008-MOTORBOAT-accidental,accidental,YS2008,0.1333
YS2008-MOTORBOAT-attempted,attempted,YS2008,0.1833
YS2008-MOTORBOAT-intentional,intentional,YS2008,0.0833
YS2008-ASTHMA-neutral,neutral,YS2008,0.1667
YS2008-ASTHMA-accidental,accidental,YS2008,0.1833
YS2008-ASTHMA-attempted,attempted,YS2008,0.1833
YS2008-ASTHMA-intentional,intentional,YS2008,0.1167
YS2008-VITAMIN-neutral,neutral,YS2008,0.3667
YS2008-VITAMIN-accidental,accidental,YS2008,0.45
YS2008-VITAMIN-attempted,attempted,YS2008,0.3333
YS2008-VITAMIN-intentional,intentional,YS2008,0.4
YS2008-SESAME-neutral,neutral,YS2008,0.2
YS2008-SESAME-accidental,accidental,YS2008,0.3833
YS2008-SESAME-attempted,attempted,YS2008,0.1833
YS2008-SESAME-intentional,intentional,YS2008,0.1
YS2008-BIKE-neutral,neutral,YS2008,0.1333
YS2008-BIKE-accidental,accidental,YS2008,0.2167
YS2008-BIKE-attempted,attempted,YS2008,0.1833
YS2008-BIKE-intentional,intentional,YS2008,0.1333
YS2008-IRON-neutral,neutral,YS2008,0.2
YS2008-IRON-accidental,accidental,YS2008,0.1167
