metric,value
intent_reliance_min,0.0105
intent_reliance_max,0.2313
intent_reliance_range,0.2208
itemcorr_human_verbatim__para_blame10,-0.0477
itemcorr_human_verbatim__para_wrong7,0.0264
itemcorr_human_verbatim__para_blame4,0.1742
itemcorr_human_verbatim__punish7,0.0723
itemcorr_human_verbatim__acceptable7,0.1258
itemcorr_human_verbatim__persona_adult7,0.1098
itemcorr_para_blame10__para_wrong7,-0.2457
itemcorr_para_blame10__para_blame4,-0.5062
itemcorr_para_blame10__punish7,-0.5713
itemcorr_para_blame10__acceptable7,0.3646
itemcorr_para_blame10__persona_adult7,-0.055
itemcorr_para_wrong7__para_blame4,0.5124
itemcorr_para_wrong7__punish7,0.634
itemcorr_para_wrong7__acceptable7,-0.5944
itemcorr_para_wrong7__persona_adult7,0.7286
itemcorr_para_blame4__punish7,0.6889
itemcorr_para_blame4__acceptable7,-0.5728
itemcorr_para_blame4__persona_adult7,0.5401
itemcorr_punish7__acceptable7,-0.8056
itemcorr_punish7__persona_adult7,0.5383
itemcorr_acceptable7__persona_adult7,-0.5797
