metric,value
intent_reliance_min,0.0357
intent_reliance_max,0.5652
intent_reliance_range,0.5295
itemcorr_human_verbatim__para_blame10,0.121
itemcorr_human_verbatim__para_wrong7,-0.1622
itemcorr_human_verbatim__para_blame4,0.0511
itemcorr_human_verbatim__punish7,0.0846
itemcorr_human_verbatim__acceptable7,0.1185
itemcorr_human_verbatim__persona_adult7,-0.1531
itemcorr_para_blame10__para_wrong7,0.2545
itemcorr_para_blame10__para_blame4,0.0633
itemcorr_para_blame10__punish7,0.0551
itemcorr_para_blame10__acceptable7,-0.2455
itemcorr_para_blame10__persona_adult7,0.2068
itemcorr_para_wrong7__para_blame4,0.454
itemcorr_para_wrong7__punish7,0.6247
itemcorr_para_wrong7__acceptable7,-0.7586
itemcorr_para_wrong7__persona_adult7,0.7758
itemcorr_para_blame4__punish7,0.5464
itemcorr_para_blame4__acceptable7,-0.4222
itemcorr_para_blame4__persona_adult7,0.3185
itemcorr_punish7__acceptable7,-0.6254
itemcorr_punish7__persona_adult7,0.4394
itemcorr_acceptable7__persona_adult7,-0.609
