metric,value
intent_reliance_min,0.0166
intent_reliance_max,0.6064
intent_reliance_range,0.5898
itemcorr_human_verbatim__para_blame10,-0.317
itemcorr_human_verbatim__para_wrong7,-0.2247
itemcorr_human_verbatim__para_blame4,-0.0338
itemcorr_human_verbatim__punish7,0.0811
itemcorr_human_verbatim__acceptable7,0.5081
itemcorr_human_verbatim__persona_adult7,-0.2228
itemcorr_para_blame10__para_wrong7,0.7597
itemcorr_para_blame10__para_blame4,0.4439
itemcorr_para_blame10__punish7,0.5289
itemcorr_para_blame10__acceptable7,-0.7977
itemcorr_para_blame10__persona_adult7,0.7981
itemcorr_para_wrong7__para_blame4,0.5656
itemcorr_para_wrong7__punish7,0.482
itemcorr_para_wrong7__acceptable7,-0.6748
itemcorr_para_wrong7__persona_adult7,0.9287
itemcorr_para_blame4__punish7,0.653
itemcorr_para_blame4__acceptable7,-0.2813
itemcorr_para_blame4__persona_adult7,0.5425
itemcorr_punish7__acceptable7,-0.2687
itemcorr_punish7__persona_adult7,0.4779
itemcorr_acceptable7__persona_adult7,-0.7049
