model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.0293,0.5146
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.9859,0.993
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.1228,0.0614
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,2.9985,0.9992
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,2.3775,0.6888
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,2.9993,0.9996
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,2.7773,0.8886
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,2.9981,0.999
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,2.5,0.75
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,2.9994,0.9997
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.0779,0.039
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,2.9981,0.999
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.7525,0.3763
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,2.9959,0.998
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,2.005,0.5025
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,2.982,0.991
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,2.0086,0.5043
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,2.9707,0.9853
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,2.5,0.75
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,2.9997,0.9998
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,2.7773,0.8886
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,2.9998,0.9999
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.0385,0.0193
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,2.7773,0.8886
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,1.9509,0.4754
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,2.9996,0.9998
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,2.0474,0.5237
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,2.9975,0.9988
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,2.023,0.5115
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,2.9994,0.9997
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,2.023,0.5115
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,2.8808,0.9404
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,2.0044,0.5022
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,2.977,0.9885
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_10-attempted,YS2008,attempted,guilty,no_harm,2.6225,0.8112
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_10-intentional,YS2008,intentional,guilty,harm,2.9997,0.9999
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_11-neutral,YS2008,neutral,innocent,no_harm,2.0138,0.5069
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_11-accidental,YS2008,accidental,innocent,harm,3.0,1.0
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_11-attempted,YS2008,attempted,guilty,no_harm,2.8808,0.9404
Qwen/Qwen2.5-7B-Instruct,human_verbatim,0,YS2008-YS2008_11-intentional,YS2008,intentional,guilty,harm,3.0,1.0
