metric,value
intent_reliance_min,0.0446
intent_reliance_max,0.2335
intent_reliance_range,0.1889
itemcorr_human_verbatim__para_blame10,0.7442
itemcorr_human_verbatim__para_wrong7,0.8433
itemcorr_human_verbatim__para_blame4,0.8395
itemcorr_human_verbatim__punish7,0.8251
itemcorr_human_verbatim__acceptable7,0.8452
itemcorr_human_verbatim__persona_adult7,0.8518
itemcorr_para_blame10__para_wrong7,0.7135
itemcorr_para_blame10__para_blame4,0.7588
itemcorr_para_blame10__punish7,0.7726
itemcorr_para_blame10__acceptable7,0.6254
itemcorr_para_blame10__persona_adult7,0.7377
itemcorr_para_wrong7__para_blame4,0.8829
itemcorr_para_wrong7__punish7,0.8324
itemcorr_para_wrong7__acceptable7,0.8686
itemcorr_para_wrong7__persona_adult7,0.9559
itemcorr_para_blame4__punish7,0.8538
itemcorr_para_blame4__acceptable7,0.7963
itemcorr_para_blame4__persona_adult7,0.8996
itemcorr_punish7__acceptable7,0.7339
itemcorr_punish7__persona_adult7,0.8496
itemcorr_acceptable7__persona_adult7,0.84
