metric,value
intent_reliance_min,0.0878
intent_reliance_max,0.2673
intent_reliance_range,0.1795
itemcorr_human_verbatim__para_blame10,0.2733
itemcorr_human_verbatim__para_wrong7,0.7331
itemcorr_human_verbatim__para_blame4,0.5716
itemcorr_human_verbatim__punish7,0.3137
itemcorr_human_verbatim__acceptable7,0.6574
itemcorr_human_verbatim__persona_adult7,0.7765
itemcorr_para_blame10__para_wrong7,0.3957
itemcorr_para_blame10__para_blame4,0.6163
itemcorr_para_blame10__punish7,0.5177
itemcorr_para_blame10__acceptable7,-0.0427
itemcorr_para_blame10__persona_adult7,0.4302
itemcorr_para_wrong7__para_blame4,0.6384
itemcorr_para_wrong7__punish7,0.4757
itemcorr_para_wrong7__acceptable7,0.7203
itemcorr_para_wrong7__persona_adult7,0.973
itemcorr_para_blame4__punish7,0.7289
itemcorr_para_blame4__acceptable7,0.4944
itemcorr_para_blame4__persona_adult7,0.614
itemcorr_punish7__acceptable7,0.305
itemcorr_punish7__persona_adult7,0.4444
itemcorr_acceptable7__persona_adult7,0.687
