model,intent_reliance_index,intent_reliance_sd,n_templates,n_templates_total,b_intent_mean,b_outcome_mean,degenerate
allenai/Llama-3_1-Tulu-3-8B,0.1403,0.0473,7,7,0.053,0.3087,False
allenai/OLMo-2-1124-7B,0.1206,0.0,1,7,0.0062,0.0452,False
allenai/OLMo-2-1124-7B-Instruct,0.0517,0.0374,7,7,0.0118,0.4732,False
HuggingFaceH4/zephyr-7b-beta,,,0,7,,,True
meta-llama/Llama-3.1-8B,0.0728,0.0154,2,7,0.0058,0.0701,False
mistralai/Mistral-7B-Instruct-v0_3,,,0,7,,,True
mistralai/Mistral-7B-v0_3,,,0,7,,,True
Qwen/Qwen2.5-0.5B,,,0,7,,,True
Qwen/Qwen2.5-0.5B-Instruct,0.1183,0.1125,3,7,0.0186,0.1018,False
Qwen/Qwen2.5-1.5B,,,0,7,,,True
Qwen/Qwen2.5-1.5B-Instruct,0.1843,0.0804,7,7,0.0382,0.1607,False
Qwen/Qwen2.5-14B,0.1654,0.0661,7,7,0.0201,0.1099,False
Qwen/Qwen2.5-14B-Instruct,0.1876,0.0464,7,7,0.1147,0.4985,False
Qwen/Qwen2.5-3B,0.0629,0.0585,6,7,-0.0022,-0.0044,False
Qwen/Qwen2.5-3B-Instruct,0.2162,0.1096,7,7,0.0847,0.3354,False
Qwen/Qwen2.5-7B,0.0406,0.0285,3,7,0.0014,-0.0235,False
Qwen/Qwen2.5-7B-Instruct,0.152,0.0608,7,7,0.0739,0.4104,False
unsloth/gemma-2-9b,,,0,7,,,True
unsloth/gemma-2-9b-it,0.266,0.1064,7,7,0.1025,0.2951,False
unsloth/Meta-Llama-3_1-8B-Instruct,0.4431,0.1879,7,7,0.0553,0.0609,False
