metric,value
intent_reliance_min,0.1329
intent_reliance_max,0.2361
intent_reliance_range,0.1033
itemcorr_human_verbatim__para_blame10,0.8252
itemcorr_human_verbatim__para_wrong7,0.8762
itemcorr_human_verbatim__para_blame4,0.8853
itemcorr_human_verbatim__punish7,0.7854
itemcorr_human_verbatim__acceptable7,0.8862
itemcorr_human_verbatim__persona_adult7,0.8714
itemcorr_para_blame10__para_wrong7,0.8847
itemcorr_para_blame10__para_blame4,0.8762
itemcorr_para_blame10__punish7,0.8943
itemcorr_para_blame10__acceptable7,0.8214
itemcorr_para_blame10__persona_adult7,0.9274
itemcorr_para_wrong7__para_blame4,0.9278
itemcorr_para_wrong7__punish7,0.8603
itemcorr_para_wrong7__acceptable7,0.9033
itemcorr_para_wrong7__persona_adult7,0.9603
itemcorr_para_blame4__punish7,0.8382
itemcorr_para_blame4__acceptable7,0.8805
itemcorr_para_blame4__persona_adult7,0.9258
itemcorr_punish7__acceptable7,0.7831
itemcorr_punish7__persona_adult7,0.8959
itemcorr_acceptable7__persona_adult7,0.8867
