metric,value
intent_reliance_min,0.014
intent_reliance_max,0.6536
intent_reliance_range,0.6396
itemcorr_human_verbatim__para_blame10,-0.174
itemcorr_human_verbatim__para_wrong7,-0.1577
itemcorr_human_verbatim__para_blame4,0.1058
itemcorr_human_verbatim__punish7,-0.0759
itemcorr_human_verbatim__acceptable7,0.0779
itemcorr_human_verbatim__persona_adult7,-0.0339
itemcorr_para_blame10__para_wrong7,0.3145
itemcorr_para_blame10__para_blame4,0.4946
itemcorr_para_blame10__punish7,0.7676
itemcorr_para_blame10__acceptable7,-0.7026
itemcorr_para_blame10__persona_adult7,0.4731
itemcorr_para_wrong7__para_blame4,0.6004
itemcorr_para_wrong7__punish7,0.5065
itemcorr_para_wrong7__acceptable7,-0.2664
itemcorr_para_wrong7__persona_adult7,0.8122
itemcorr_para_blame4__punish7,0.7852
itemcorr_para_blame4__acceptable7,-0.6226
itemcorr_para_blame4__persona_adult7,0.682
itemcorr_punish7__acceptable7,-0.8376
itemcorr_punish7__persona_adult7,0.637
itemcorr_acceptable7__persona_adult7,-0.4286
