metric,value
intent_reliance_min,0.0045
intent_reliance_max,0.1982
intent_reliance_range,0.1937
itemcorr_human_verbatim__para_blame10,0.1222
itemcorr_human_verbatim__para_wrong7,-0.174
itemcorr_human_verbatim__para_blame4,-0.0431
itemcorr_human_verbatim__punish7,0.0797
itemcorr_human_verbatim__acceptable7,0.1004
itemcorr_human_verbatim__persona_adult7,0.093
itemcorr_para_blame10__para_wrong7,0.0699
itemcorr_para_blame10__para_blame4,0.4555
itemcorr_para_blame10__punish7,0.5594
itemcorr_para_blame10__acceptable7,-0.4302
itemcorr_para_blame10__persona_adult7,0.2774
itemcorr_para_wrong7__para_blame4,0.4998
itemcorr_para_wrong7__punish7,0.5714
itemcorr_para_wrong7__acceptable7,-0.5566
itemcorr_para_wrong7__persona_adult7,0.5712
itemcorr_para_blame4__punish7,0.782
itemcorr_para_blame4__acceptable7,-0.7289
itemcorr_para_blame4__persona_adult7,0.4966
itemcorr_punish7__acceptable7,-0.7669
itemcorr_punish7__persona_adult7,0.6489
itemcorr_acceptable7__persona_adult7,-0.5143
