model_a,model_b,contrast_diff,ci_lo,ci_hi,distinguishable
claude-opus-4-6,kimi-k3,0.0926,0.0123,0.1744,yes
claude-opus-4-6,gemini-2_5-pro,0.0926,0.0146,0.1721,yes
claude-opus-4-6,claude-sonnet-4-6,0.0988,0.027,0.1751,yes
claude-opus-4-6,gemini-2_5-flash,0.1528,0.0571,0.2454,yes
claude-opus-4-6,claude-haiku-4-5-20251001,0.2438,0.1543,0.3303,yes
claude-opus-4-6,gpt-4o-mini,0.3704,0.2847,0.4591,yes
claude-opus-4-6,gpt-4o,0.4707,0.3866,0.5525,yes
kimi-k3,gemini-2_5-pro,0.0,-0.0231,0.0208,no
kimi-k3,claude-sonnet-4-6,0.0062,-0.0833,0.0926,no
kimi-k3,gemini-2_5-flash,0.0602,-0.0324,0.1443,no
kimi-k3,claude-haiku-4-5-20251001,0.1512,0.0949,0.2052,yes
kimi-k3,gpt-4o-mini,0.2778,0.2376,0.3164,yes
kimi-k3,gpt-4o,0.3781,0.3179,0.4367,yes
gemini-2_5-pro,claude-sonnet-4-6,0.0062,-0.081,0.0949,no
gemini-2_5-pro,gemini-2_5-flash,0.0602,-0.0363,0.1489,no
gemini-2_5-pro,claude-haiku-4-5-20251001,0.1512,0.0941,0.2052,yes
gemini-2_5-pro,gpt-4o-mini,0.2778,0.2284,0.3256,yes
gemini-2_5-pro,gpt-4o,0.3781,0.3156,0.4398,yes
claude-sonnet-4-6,gemini-2_5-flash,0.054,-0.0371,0.1451,no
claude-sonnet-4-6,claude-haiku-4-5-20251001,0.1451,0.0602,0.2377,yes
claude-sonnet-4-6,gpt-4o-mini,0.2716,0.1844,0.358,yes
claude-sonnet-4-6,gpt-4o,0.3719,0.2863,0.4568,yes
gemini-2_5-flash,claude-haiku-4-5-20251001,0.0911,0.01,0.1821,yes
gemini-2_5-flash,gpt-4o-mini,0.2176,0.1365,0.304,yes
gemini-2_5-flash,gpt-4o,0.3179,0.2415,0.4051,yes
claude-haiku-4-5-20251001,gpt-4o-mini,0.1265,0.0741,0.179,yes
claude-haiku-4-5-20251001,gpt-4o,0.2268,0.1682,0.2832,yes
gpt-4o-mini,gpt-4o,0.1003,0.0494,0.1566,yes
