story_id,condition,domain,harm,pair,item_num,word_count,text
BRU-PP-01,PP,physical,1,physical-01,1,43,"Joe was playing soccer with his friends. He slid in to steal the ball away, but his cleat stuck in the grass and he rolled over his ankle, breaking his ankle and tearing the ligaments. His face was flushed as he rolled over."
BRU-PP-02,PP,physical,1,physical-02,2,42,"Ethan was building a small shed. He picked up the hammer to drive a nail into a board, but missed and hit his thumb, crushing his thumb and ripping off half the thumbnail. Ethan held his thumb as the blood seeped through."
BRU-PP-03,PP,physical,1,physical-03,3,45,"Roger was walking to school when he heard a friend behind him call his name. Roger turned to respond, but just then tripped and stumbled over some wood on the ground. Roger fell forward and impaled his hand on a rusty nail in the wood."
BRU-PP-04,PP,physical,1,physical-04,4,45,"Liane was changing a lightbulb in her living room. Her roommate held a stool while Liane reached up to unscrew the old bulb. The light had been on all night, though, and it was very hot. When she grabbed the bulb it burned Liane's hand."
BRU-PP-05,PP,physical,1,physical-05,5,36,"Chris was chopping vegetables for dinner. When his friend asked him a question, Chris turned to respond and slipped with the knife. The knife cut a huge slice in his finger that went to the bone."
BRU-PP-06,PP,physical,1,physical-06,6,41,"Leslie was running through her house playing tag with her friend. After going through a doorway, Leslie slammed the door behind her, but her finger was caught in the door. When they opened the door two of her fingers were broken."
BRU-PP-07,PP,physical,1,physical-07,7,47,"Annie was in a park with her mother when a bee landed on her hand. Annie could feel the tickle of the bee legs walking on her. Then the bee stung Annie, injecting its poison into her hand. Annie shook her hand and ran to her mom."
BRU-PP-08,PP,physical,1,physical-08,8,49,"Roy was at the beach with his family. After a day of playing catch and running in the sand, Roy started walking back to the car. Buried in the sand was a piece of broken glass. Roy stepped on the glass and it sliced the bottom of his foot."
BRU-PP-09,PP,physical,1,physical-09,9,49,Cindy was making dinner for her family. She pulled the pot of spaghetti off the stove and walked over to the sink to drain it. The pot slipped in her grasp and spilled boiling water on her arm and leg. Cindy rushed to the freezer to get some ice.
BRU-PP-10,PP,physical,1,physical-10,10,46,Chad was collecting wood to build a tree house. Chad picked up a long plank of old wood that was perfect for the floor. The wood slid in his hand and a splinter came off. A big splinter slid right underneath his fingernail and broke off.
