model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,1.2511,0.1256
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,1.4687,0.2343
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,1.2841,0.142
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,1.4215,0.2108
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-neutral,YS2008,neutral,innocent,no_harm,1.4215,0.2108
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-accidental,YS2008,accidental,innocent,harm,1.511,0.2555
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-attempted,YS2008,attempted,guilty,no_harm,1.475,0.2375
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_02-intentional,YS2008,intentional,guilty,harm,1.4717,0.2358
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-neutral,YS2008,neutral,innocent,no_harm,1.4097,0.2049
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-accidental,YS2008,accidental,innocent,harm,1.4618,0.2309
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-attempted,YS2008,attempted,guilty,no_harm,1.4214,0.2107
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_03-intentional,YS2008,intentional,guilty,harm,1.5431,0.2715
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-neutral,YS2008,neutral,innocent,no_harm,1.4326,0.2163
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-accidental,YS2008,accidental,innocent,harm,1.4215,0.2108
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-attempted,YS2008,attempted,guilty,no_harm,1.3325,0.1662
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_04-intentional,YS2008,intentional,guilty,harm,1.2806,0.1403
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-neutral,YS2008,neutral,innocent,no_harm,1.107,0.0535
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-accidental,YS2008,accidental,innocent,harm,1.4264,0.2132
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-attempted,YS2008,attempted,guilty,no_harm,1.1938,0.0969
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_05-intentional,YS2008,intentional,guilty,harm,1.4326,0.2163
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-neutral,YS2008,neutral,innocent,no_harm,1.5136,0.2568
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-accidental,YS2008,accidental,innocent,harm,1.3558,0.1779
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-attempted,YS2008,attempted,guilty,no_harm,1.564,0.282
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_06-intentional,YS2008,intentional,guilty,harm,1.3929,0.1964
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-neutral,YS2008,neutral,innocent,no_harm,1.1273,0.0636
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-accidental,YS2008,accidental,innocent,harm,1.3147,0.1574
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-attempted,YS2008,attempted,guilty,no_harm,1.1698,0.0849
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_07-intentional,YS2008,intentional,guilty,harm,1.3964,0.1982
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_08-neutral,YS2008,neutral,innocent,no_harm,1.0567,0.0284
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_08-accidental,YS2008,accidental,innocent,harm,1.2076,0.1038
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_08-attempted,YS2008,attempted,guilty,no_harm,1.0951,0.0475
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_08-intentional,YS2008,intentional,guilty,harm,1.2929,0.1464
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,1.2745,0.1372
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,1.3558,0.1779
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,1.3002,0.1501
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,1.2607,0.1303
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_10-neutral,YS2008,neutral,innocent,no_harm,1.5562,0.2781
Qwen/Qwen2.5-0.5B-Instruct,human_verbatim,0,YS2008-YS2008_10-accidental,YS2008,accidental,innocent,harm,1.6169,0.3085
