model,Qwen_Qwen2_5-7B
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.3885
accidental,0.4901
attempted,0.4083
intentional,0.4651
model_intent_reliance_4cell,0.0323
model_intent_vs_outcome_contrast,-0.0818

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=13)
contrast_template_mean,-0.053
contrast_template_sd,0.0242
contrast_template_min,-0.0818
contrast_template_max,-0.0049
contrast_template_range,0.0769
  contrast[acceptable7],-0.0471
  contrast[blame_w1],-0.0407
  contrast[blame_w2],-0.0744
  contrast[human_verbatim],-0.0818
  contrast[para_blame10],-0.0049
  contrast[para_blame4],-0.0615
  contrast[para_wrong7],-0.0785
  contrast[persona_adult7],-0.0345
  contrast[punish7],-0.0256
  contrast[punish_w1],-0.0256
  contrast[punish_w2],-0.0582
  contrast[wrong_w1],-0.0785
  contrast[wrong_w2],-0.0774
contrast_sign_stable_across_prompts,yes

vs adult
rmse,0.4194
profile_corr,0.1596
intent_reliance_4cell_diff,-0.8243
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.7478

vs child_4_5
rmse,0.2047
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.09
contrast_diff_model_minus_human,-0.1718

vs child_6_7
rmse,0.1042
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.12
contrast_diff_model_minus_human,-0.2018

vs child_8plus
rmse,0.191
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.19
contrast_diff_model_minus_human,-0.2718
