model,Qwen_Qwen2.5-3B-Instruct
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.5918
accidental,0.9917
attempted,0.85
intentional,0.9877
model_intent_reliance_4cell,0.3211
model_intent_vs_outcome_contrast,-0.1416

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=7)
contrast_template_mean,-0.2475
contrast_template_sd,0.0949
contrast_template_min,-0.3608
contrast_template_max,-0.1197
contrast_template_range,0.2411
  contrast[acceptable7],-0.2143
  contrast[human_verbatim],-0.1416
  contrast[para_blame10],-0.3561
  contrast[para_blame4],-0.336
  contrast[para_wrong7],-0.1197
  contrast[persona_adult7],-0.2038
  contrast[punish7],-0.3608
contrast_sign_stable_across_prompts,yes

vs adult
rmse,0.4596
profile_corr,0.5679
intent_reliance_4cell_diff,-0.5354
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.8076

vs child_4_5
rmse,0.3084
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.09
contrast_diff_model_minus_human,-0.2316

vs child_6_7
rmse,0.4646
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.12
contrast_diff_model_minus_human,-0.2616

vs child_8plus
rmse,0.6281
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.19
contrast_diff_model_minus_human,-0.3316
