model_a,model_b,contrast_diff,ci_lo,ci_hi,distinguishable
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-0_5B,0.0021,-0.0029,0.0073,no
unsloth_Meta-Llama-3_1-8B,unsloth_gemma-2-9b,0.0026,-0.002,0.0074,no
unsloth_Meta-Llama-3_1-8B,mistralai_Mistral-7B-v0_3,0.0051,0.0003,0.0098,yes
unsloth_Meta-Llama-3_1-8B,allenai_OLMo-2-1124-7B,0.0068,-0.0007,0.0144,no
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-1_5B,0.0152,0.0077,0.023,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-3B,0.0508,0.0437,0.0576,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-0_5B-Instruct,0.0527,0.0429,0.0633,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-7B,0.0536,0.0455,0.0612,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-14B,0.1282,0.1148,0.1413,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-1_5B-Instruct,0.1689,0.1506,0.1874,yes
unsloth_Meta-Llama-3_1-8B,unsloth_Meta-Llama-3_1-8B-Instruct,0.2041,0.1755,0.2338,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-7B-Instruct,0.2406,0.2134,0.2688,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-3B-Instruct,0.2494,0.2229,0.277,yes
unsloth_Meta-Llama-3_1-8B,Qwen_Qwen2_5-14B-Instruct,0.3724,0.3315,0.4122,yes
unsloth_Meta-Llama-3_1-8B,allenai_Llama-3_1-Tulu-3-8B,0.4033,0.3635,0.4443,yes
unsloth_Meta-Llama-3_1-8B,unsloth_gemma-2-9b-it,0.4104,0.3562,0.4651,yes
unsloth_Meta-Llama-3_1-8B,mistralai_Mistral-7B-Instruct-v0_3,0.476,0.4401,0.513,yes
unsloth_Meta-Llama-3_1-8B,HuggingFaceH4_zephyr-7b-beta,0.5538,0.5032,0.6051,yes
unsloth_Meta-Llama-3_1-8B,allenai_OLMo-2-1124-7B-Instruct,0.6483,0.5897,0.7047,yes
Qwen_Qwen2_5-0_5B,unsloth_gemma-2-9b,0.0006,-0.0033,0.0047,no
Qwen_Qwen2_5-0_5B,mistralai_Mistral-7B-v0_3,0.003,-0.0011,0.0072,no
Qwen_Qwen2_5-0_5B,allenai_OLMo-2-1124-7B,0.0047,-0.002,0.0115,no
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-1_5B,0.0131,0.0069,0.0195,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-3B,0.0487,0.0419,0.0555,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-0_5B-Instruct,0.0506,0.0404,0.0612,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-7B,0.0515,0.0438,0.0592,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-14B,0.1261,0.1119,0.1395,yes
