model,size_B,type,provider,contrast,ci_lo,ci_hi,sig_vs_0,intent_reliance,ir_lo,ir_hi,b_intent,b_outcome,contrast_sd_across_templates,contrast_range,sign_flips_across_prompts,nearest_human_group,contrast_minus_adult,rating_std,degenerate
Qwen_Qwen2.5-7B,7.0,base,,0.0217,0.0121,0.0308,yes,0.2012,0.063,0.4654,0.0035,-0.014,0.0717,0.2398,True,child_6_7,-0.6443,0.0378,False
Qwen_Qwen2.5-3B,3.0,base,,0.0085,0.0001,0.0177,yes,0.2965,0.0526,0.8885,-0.0022,-0.0053,0.0749,0.2228,True,child_6_7,-0.6575,0.0335,False
Qwen_Qwen2.5-1.5B,1.5,base,,0.0069,0.0041,0.0098,yes,0.0079,0.0013,0.0842,0.0001,-0.0105,0.02,0.0625,True,child_6_7,-0.6591,0.0354,False
HuggingFaceH4_zephyr-7b-beta,7.2,instruct,HuggingFaceH4,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,child_4_5,-0.666,0.0,True
mistralai_Mistral-7B-Instruct-v0_3,7.0,instruct,,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,child_4_5,-0.666,0.0,True
mistralai_Mistral-7B-v0_3,7.0,base,,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,child_4_5,-0.666,0.0,True
Qwen_Qwen2.5-0.5B,0.5,base,,-0.0002,-0.0036,0.0032,no,0.1324,0.0064,0.7836,-0.0003,-0.002,0.0099,0.0325,True,child_4_5,-0.6662,0.0217,False
unsloth_Meta-Llama-3_1-8B-Instruct,8.0,instruct,Meta,-0.0006,-0.0418,0.043,no,0.4654,0.3144,0.7531,0.053,0.0609,0.083,0.2644,True,child_4_5,-0.6666,0.1513,False
allenai_OLMo-2-1124-7B,7.3,base,AllenAI,-0.0159,-0.0261,-0.0051,yes,0.2092,0.1038,0.3895,0.0048,0.0182,0.0182,0.0517,True,child_4_5,-0.6819,0.036,False
unsloth_gemma-2-9b,9.0,base,Google,-0.0219,-0.0284,-0.0155,yes,0.0543,0.0051,0.1247,0.0012,0.0208,0.0169,0.0528,True,child_4_5,-0.6879,0.0252,False
meta-llama_Llama-3.1-8B,8.0,base,,-0.0222,-0.0282,-0.0162,yes,0.1606,0.0977,0.2208,0.0054,0.0283,0.0342,0.1099,True,child_4_5,-0.6882,0.029,False
Qwen_Qwen2_5-14B,14.0,base,,-0.0395,-0.0573,-0.0231,yes,0.128,0.0546,0.211,0.0071,0.0487,0.0398,0.1244,False,child_4_5,-0.7055,0.0609,False
Qwen_Qwen2.5-0.5B-Instruct,0.5,instruct,,-0.0401,-0.047,-0.0334,yes,0.1082,0.0651,0.1525,0.0055,0.0451,0.0466,0.1151,True,child_4_5,-0.7061,0.0327,False
Qwen_Qwen2.5-14B,14.0,base,,-0.0904,-0.1054,-0.0761,yes,0.1551,0.1133,0.1977,0.0202,0.1099,0.0527,0.1847,False,child_4_5,-0.7564,0.0847,False
Qwen_Qwen2.5-1.5B-Instruct,1.5,instruct,,-0.1205,-0.1422,-0.0974,yes,0.1919,0.158,0.2275,0.0382,0.1607,0.053,0.1471,False,child_4_5,-0.7865,0.1173,False
unsloth_gemma-2-9b-it,9.0,instruct,Google,-0.1933,-0.2512,-0.1329,yes,0.2504,0.1875,0.3183,0.0986,0.2951,0.1239,0.345,True,child_4_5,-0.8593,0.2818,False
Qwen_Qwen2_5-7B-Instruct,7.0,instruct,,-0.2423,-0.2754,-0.2052,yes,0.1069,0.0628,0.147,0.0334,0.279,0.08,0.2749,False,child_4_5,-0.9083,0.1978,False
Qwen_Qwen2.5-3B-Instruct,3.0,instruct,,-0.2472,-0.2935,-0.1993,yes,0.2016,0.1552,0.2473,0.0847,0.3354,0.0934,0.2411,False,child_4_5,-0.9132,0.2432,False
allenai_Llama-3_1-Tulu-3-8B,8.0,instruct,AllenAI,-0.2606,-0.3071,-0.2152,yes,0.1415,0.1051,0.1804,0.0509,0.3087,0.0553,0.1771,False,child_4_5,-0.9266,0.2139,False
Qwen_Qwen2_5-14B-Instruct,14.0,instruct,,-0.2809,-0.3226,-0.2382,yes,0.1831,0.1394,0.2264,0.0803,0.358,0.0626,0.19,False,child_4_5,-0.9469,0.2447,False
Qwen_Qwen2.5-7B-Instruct,7.0,instruct,,-0.334,-0.3769,-0.2848,yes,0.1526,0.1139,0.1882,0.0739,0.4104,0.0827,0.2573,False,child_4_5,-1.0,0.2723,False
Qwen_Qwen2.5-14B-Instruct,14.0,instruct,,-0.394,-0.4342,-0.3515,yes,0.1871,0.1523,0.2201,0.1147,0.4985,0.0992,0.3182,False,child_4_5,-1.06,0.3015,False
allenai_OLMo-2-1124-7B-Instruct,7.3,instruct,AllenAI,-0.4629,-0.5158,-0.41,yes,0.0216,0.0015,0.0542,0.0105,0.4732,0.1147,0.3489,False,child_4_5,-1.1289,0.2844,False
