model_tag,scenario_group,intent_decodability_margin,intent_use_primary,intent_use_matched
OLMo-2-1124-7B-Instruct,ALARM,0.32415,-0.68799,-0.05623
OLMo-2-1124-7B-Instruct,ASTHMA,5.48044,-0.59248,0.04522
OLMo-2-1124-7B-Instruct,Allergy,1.80686,,0.03145
OLMo-2-1124-7B-Instruct,BAR,6.83235,-0.79122,-0.02476
OLMo-2-1124-7B-Instruct,BIKE,5.90956,-0.75833,0.03376
OLMo-2-1124-7B-Instruct,BOUNCY BALL,7.02929,-0.81551,0.03493
OLMo-2-1124-7B-Instruct,BRIDGE,2.83702,-0.8943,-0.00267
OLMo-2-1124-7B-Instruct,CAYO,2.50952,-0.51203,-0.01844
OLMo-2-1124-7B-Instruct,CHAIRLIFT,5.34459,-0.93334,-0.02305
OLMo-2-1124-7B-Instruct,COFFEE,4.24737,-0.7525,0.03317
OLMo-2-1124-7B-Instruct,CPR,5.15813,-0.78376,-0.01813
OLMo-2-1124-7B-Instruct,Dog,3.61151,,-0.00503
OLMo-2-1124-7B-Instruct,FRAT,4.11362,-0.82013,-0.06708
OLMo-2-1124-7B-Instruct,FUMIGATION,0.7106,-0.14797,0.15637
OLMo-2-1124-7B-Instruct,HAM,5.9628,-0.78289,-0.05522
OLMo-2-1124-7B-Instruct,HARNESS,5.75659,-0.90741,-0.02342
OLMo-2-1124-7B-Instruct,HUNT,2.1186,-0.46733,-0.14288
OLMo-2-1124-7B-Instruct,IGLOO,9.03427,-0.5887,0.09066
OLMo-2-1124-7B-Instruct,IRON,2.23503,-0.84045,-0.01551
OLMo-2-1124-7B-Instruct,JELLYFISH,8.47617,-0.78595,0.04346
OLMo-2-1124-7B-Instruct,LAB,6.3122,-0.87657,-0.00243
OLMo-2-1124-7B-Instruct,LAPTOP,6.80601,-0.65399,0.04754
OLMo-2-1124-7B-Instruct,LATEX,9.12363,-0.72469,0.07438
OLMo-2-1124-7B-Instruct,LOGAN AIRPORT,4.84748,-0.68808,0.04612
OLMo-2-1124-7B-Instruct,MALARIA POND,5.60404,-0.57478,0.10806
OLMo-2-1124-7B-Instruct,MEATLOAF,4.40932,-0.61787,0.03453
OLMo-2-1124-7B-Instruct,MOTHER,2.87442,-0.51295,0.0507
OLMo-2-1124-7B-Instruct,MOTORBOAT,4.24176,-0.49749,0.12345
OLMo-2-1124-7B-Instruct,MUSHROOMS,6.55159,-0.23555,0.24615
OLMo-2-1124-7B-Instruct,PARACHUTES,7.46949,-0.91638,0.01265
OLMo-2-1124-7B-Instruct,PEANUT ALLERGY,5.38346,-0.89862,-0.0375
OLMo-2-1124-7B-Instruct,POOL,7.04171,-0.65055,0.04137
OLMo-2-1124-7B-Instruct,POPCORN,2.83392,-0.87579,-0.05323
OLMo-2-1124-7B-Instruct,PORRIDGE,4.05152,-0.51841,0.03549
OLMo-2-1124-7B-Instruct,Parent,1.38543,,-0.01972
OLMo-2-1124-7B-Instruct,Poison,9.59358,,0.03705
OLMo-2-1124-7B-Instruct,RABIES,9.99599,-0.26619,0.26243
OLMo-2-1124-7B-Instruct,RIVER,4.01733,-0.70522,-0.02043
OLMo-2-1124-7B-Instruct,SAFETY CORD,3.77773,-0.5757,0.05927
OLMo-2-1124-7B-Instruct,SAFETY TOWN,6.30808,-0.11392,0.32933
OLMo-2-1124-7B-Instruct,SEATBELT,2.14805,-0.40402,0.10347
OLMo-2-1124-7B-Instruct,SESAME,3.47942,-0.73648,0.05283
OLMo-2-1124-7B-Instruct,SPINACH,4.94865,-0.78395,-0.0066
OLMo-2-1124-7B-Instruct,SPRING BREAK,8.87325,-0.78728,0.00309
OLMo-2-1124-7B-Instruct,SUSHI,5.56844,-0.44597,0.07891
OLMo-2-1124-7B-Instruct,Sibling,2.66548,,-0.10014
OLMo-2-1124-7B-Instruct,TEENAGERS,2.59004,-0.43134,0.04558
OLMo-2-1124-7B-Instruct,TRACKS,4.76579,-0.50113,0.02609
OLMo-2-1124-7B-Instruct,TREE HOUSE,6.09284,-0.62059,-0.02494
OLMo-2-1124-7B-Instruct,VET,5.74523,-0.82126,0.00991
OLMo-2-1124-7B-Instruct,VITAMIN,4.09069,-0.78151,0.05965
OLMo-2-1124-7B-Instruct,WET FLOOR,4.45137,-0.51468,0.01778
OLMo-2-1124-7B-Instruct,ZOO,3.02243,-0.74366,0.01381
OLMo-2-1124-7B,ALARM,0.5048,-0.00194,-0.00075
OLMo-2-1124-7B,ASTHMA,5.08319,0.02281,0.02583
OLMo-2-1124-7B,Allergy,1.71542,,-0.00265
OLMo-2-1124-7B,BAR,4.72668,-0.00221,0.01245
OLMo-2-1124-7B,BIKE,5.58189,0.01302,0.00682
OLMo-2-1124-7B,BOUNCY BALL,6.88063,-0.02279,-0.00308
OLMo-2-1124-7B,BRIDGE,2.10844,-0.04322,-0.00737
OLMo-2-1124-7B,CAYO,2.5868,0.03565,0.00095
OLMo-2-1124-7B,CHAIRLIFT,4.74119,-0.01834,0.00898
OLMo-2-1124-7B,COFFEE,5.13242,-0.02675,0.00112
OLMo-2-1124-7B,CPR,5.60167,-0.01556,0.0308
OLMo-2-1124-7B,Dog,4.20053,,0.0097
OLMo-2-1124-7B,FRAT,3.68241,0.00934,0.01066
OLMo-2-1124-7B,FUMIGATION,1.08027,0.02905,0.01694
OLMo-2-1124-7B,HAM,5.44996,-0.01162,0.00224
OLMo-2-1124-7B,HARNESS,5.18358,-0.04268,-0.01533
OLMo-2-1124-7B,HUNT,4.80563,-0.01952,-0.01653
OLMo-2-1124-7B,IGLOO,9.7865,0.03712,0.00334
OLMo-2-1124-7B,IRON,2.6362,0.02035,0.00103
OLMo-2-1124-7B,JELLYFISH,8.60279,0.00216,0.00017
OLMo-2-1124-7B,LAB,5.57861,-0.00828,0.00198
OLMo-2-1124-7B,LAPTOP,5.9388,0.00039,0.00889
OLMo-2-1124-7B,LATEX,7.20317,0.00148,0.00619
OLMo-2-1124-7B,LOGAN AIRPORT,5.38542,-0.03265,-0.02976
OLMo-2-1124-7B,MALARIA POND,6.30955,0.02359,0.00828
OLMo-2-1124-7B,MEATLOAF,3.594,-0.05265,-0.00471
OLMo-2-1124-7B,MOTHER,5.22772,0.01234,0.00186
OLMo-2-1124-7B,MOTORBOAT,0.81159,-0.02055,0.01092
OLMo-2-1124-7B,MUSHROOMS,5.05047,0.00702,-0.00332
OLMo-2-1124-7B,PARACHUTES,5.24717,-0.00874,-0.0004
OLMo-2-1124-7B,PEANUT ALLERGY,5.84318,-0.0349,-0.0071
OLMo-2-1124-7B,POOL,4.92281,-0.01751,0.0093
OLMo-2-1124-7B,POPCORN,2.82239,-0.01954,-0.01052
OLMo-2-1124-7B,PORRIDGE,5.61117,0.03772,0.02276
OLMo-2-1124-7B,Parent,1.73814,,0.00148
OLMo-2-1124-7B,Poison,11.10252,,0.00273
OLMo-2-1124-7B,RABIES,6.23251,0.0005,0.00236
OLMo-2-1124-7B,RIVER,5.51987,-0.00022,0.00969
OLMo-2-1124-7B,SAFETY CORD,3.00851,-0.00977,0.00668
OLMo-2-1124-7B,SAFETY TOWN,5.90574,0.00873,-9e-05
OLMo-2-1124-7B,SEATBELT,2.4006,0.01632,-0.00487
OLMo-2-1124-7B,SESAME,2.71525,-0.00418,0.00785
OLMo-2-1124-7B,SPINACH,4.28616,-0.01344,0.00922
OLMo-2-1124-7B,SPRING BREAK,6.0659,-0.02683,0.0031
OLMo-2-1124-7B,SUSHI,2.35294,0.0055,0.02167
OLMo-2-1124-7B,Sibling,3.60196,,0.00602
OLMo-2-1124-7B,TEENAGERS,2.99158,-0.01866,-0.02087
OLMo-2-1124-7B,TRACKS,4.79264,-0.01765,-0.00171
OLMo-2-1124-7B,TREE HOUSE,5.01449,0.03907,0.00403
OLMo-2-1124-7B,VET,5.62896,0.00198,0.00759
OLMo-2-1124-7B,VITAMIN,4.49816,-0.02376,0.00033
OLMo-2-1124-7B,WET FLOOR,6.00575,-0.02297,-0.00714
OLMo-2-1124-7B,ZOO,3.57171,0.02057,0.01432
Qwen2.5-0.5B-Instruct,ALARM,-0.30794,-0.05122,-2e-05
Qwen2.5-0.5B-Instruct,ASTHMA,2.80327,-0.05695,-0.00459
Qwen2.5-0.5B-Instruct,Allergy,2.71469,,0.01044
Qwen2.5-0.5B-Instruct,BAR,1.26821,-0.07214,-0.0341
Qwen2.5-0.5B-Instruct,BIKE,2.78228,-0.02879,0.00822
Qwen2.5-0.5B-Instruct,BOUNCY BALL,2.03478,-0.09535,0.00759
