layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5794,0.5,False
1,outcome,0.5656,0.5,False
2,intent,0.5467,0.5,False
2,outcome,0.565,0.5,False
3,intent,0.5733,0.5,False
3,outcome,0.5861,0.5,False
4,intent,0.5956,0.5,False
4,outcome,0.5861,0.5,False
5,intent,0.6217,0.5,False
5,outcome,0.5706,0.5,False
6,intent,0.7117,0.5,False
6,outcome,0.6506,0.5,False
7,intent,0.6461,0.5,False
7,outcome,0.5961,0.5,False
8,intent,0.68,0.5,False
8,outcome,0.6067,0.5,False
9,intent,0.7111,0.5,False
9,outcome,0.6328,0.5,False
10,intent,0.7222,0.5,False
10,outcome,0.6289,0.5,False
11,intent,0.7556,0.5,False
11,outcome,0.6311,0.5,False
12,intent,0.7689,0.5,False
12,outcome,0.64,0.5,False
13,intent,0.7839,0.5,False
13,outcome,0.6917,0.5,False
14,intent,0.8161,0.5,False
14,outcome,0.7189,0.5,False
15,intent,0.8683,0.5,False
15,outcome,0.7289,0.5,False
16,intent,0.905,0.5,False
16,outcome,0.7083,0.5,False
17,intent,0.9211,0.5,False
17,outcome,0.7089,0.5,False
18,intent,0.9211,0.5,False
18,outcome,0.7344,0.5,False
19,intent,0.9272,0.5,False
19,outcome,0.7656,0.5,False
20,intent,0.8839,0.5,False
20,outcome,0.7778,0.5,False
21,intent,0.8989,0.5,False
21,outcome,0.7611,0.5,False
22,intent,0.8733,0.5,False
22,outcome,0.7878,0.5,False
23,intent,0.8683,0.5,False
23,outcome,0.8139,0.5,False
24,intent,0.8572,0.5,False
24,outcome,0.7872,0.5,False
25,intent,0.8339,0.5,False
25,outcome,0.8044,0.5,False
26,intent,0.845,0.5,False
26,outcome,0.7939,0.5,False
27,intent,0.8394,0.5,False
27,outcome,0.7939,0.5,False
28,intent,0.8139,0.5,False
28,outcome,0.7622,0.5,False
