layer,target,cv_acc,chance,degenerate
0,intent,0.5211,0.5,False
0,outcome,0.5,0.5,False
1,intent,0.5811,0.5,False
1,outcome,0.5744,0.5,False
2,intent,0.6511,0.5,False
2,outcome,0.595,0.5,False
3,intent,0.6772,0.5,False
3,outcome,0.5422,0.5,False
4,intent,0.65,0.5,False
4,outcome,0.6372,0.5,False
5,intent,0.6844,0.5,False
5,outcome,0.6589,0.5,False
6,intent,0.9,0.5,False
6,outcome,0.6978,0.5,False
7,intent,0.9333,0.5,False
7,outcome,0.6928,0.5,False
8,intent,0.9444,0.5,False
8,outcome,0.7167,0.5,False
9,intent,0.9444,0.5,False
9,outcome,0.7178,0.5,False
10,intent,0.96,0.5,False
10,outcome,0.8144,0.5,False
11,intent,0.975,0.5,False
11,outcome,0.8383,0.5,False
12,intent,0.97,0.5,False
12,outcome,0.8611,0.5,False
13,intent,0.9744,0.5,False
13,outcome,0.8844,0.5,False
14,intent,0.9744,0.5,False
14,outcome,0.8706,0.5,False
15,intent,0.9694,0.5,False
15,outcome,0.8783,0.5,False
16,intent,0.9794,0.5,False
16,outcome,0.9006,0.5,False
17,intent,0.9694,0.5,False
17,outcome,0.8833,0.5,False
18,intent,0.9694,0.5,False
18,outcome,0.8839,0.5,False
19,intent,0.9639,0.5,False
19,outcome,0.8894,0.5,False
20,intent,0.9639,0.5,False
20,outcome,0.8778,0.5,False
21,intent,0.9583,0.5,False
21,outcome,0.8467,0.5,False
22,intent,0.9633,0.5,False
22,outcome,0.8306,0.5,False
23,intent,0.9689,0.5,False
23,outcome,0.7928,0.5,False
24,intent,0.9683,0.5,False
24,outcome,0.8028,0.5,False
25,intent,0.9678,0.5,False
25,outcome,0.7883,0.5,False
26,intent,0.9572,0.5,False
26,outcome,0.7778,0.5,False
27,intent,0.9733,0.5,False
27,outcome,0.7706,0.5,False
28,intent,0.9678,0.5,False
28,outcome,0.7917,0.5,False
29,intent,0.9572,0.5,False
29,outcome,0.8078,0.5,False
30,intent,0.9467,0.5,False
30,outcome,0.7911,0.5,False
31,intent,0.9417,0.5,False
31,outcome,0.8189,0.5,False
32,intent,0.9306,0.5,False
32,outcome,0.7967,0.5,False
