metric,value
intent_reliance_max,0.891
intent_reliance_min,0.0371
intent_reliance_range,0.8539
iri_diff_human_verbatim__acceptable7,-0.1564
iri_diff_human_verbatim__blame_w1,-0.0453
iri_diff_human_verbatim__blame_w2,-0.1376
iri_diff_human_verbatim__para_blame10,0.0142
iri_diff_human_verbatim__para_blame4,0.0639
iri_diff_human_verbatim__persona_adult7,0.6482
iri_diff_human_verbatim__punish_w1,-0.0642
iri_diff_human_verbatim__punish_w2,-0.1203
iri_diff_human_verbatim__wrong_w1,-0.0555
iri_diff_human_verbatim__wrong_w2,-0.2057
