layer,target,cv_acc,chance,degenerate
0,intent,0.5211,0.5,False
0,outcome,0.5,0.5,False
1,intent,0.6039,0.5,False
1,outcome,0.5044,0.5,False
2,intent,0.6383,0.5,False
2,outcome,0.5433,0.5,False
3,intent,0.6139,0.5,False
3,outcome,0.5544,0.5,False
4,intent,0.6111,0.5,False
4,outcome,0.5422,0.5,False
5,intent,0.67,0.5,False
5,outcome,0.5839,0.5,False
6,intent,0.6656,0.5,False
6,outcome,0.6222,0.5,False
7,intent,0.6667,0.5,False
7,outcome,0.6156,0.5,False
8,intent,0.8328,0.5,False
8,outcome,0.6922,0.5,False
9,intent,0.7889,0.5,False
9,outcome,0.6711,0.5,False
10,intent,0.9056,0.5,False
10,outcome,0.6761,0.5,False
11,intent,0.9389,0.5,False
11,outcome,0.7289,0.5,False
12,intent,0.9289,0.5,False
12,outcome,0.7772,0.5,False
13,intent,0.9222,0.5,False
13,outcome,0.8011,0.5,False
14,intent,0.9056,0.5,False
14,outcome,0.74,0.5,False
15,intent,0.9161,0.5,False
15,outcome,0.7456,0.5,False
16,intent,0.8894,0.5,False
16,outcome,0.7167,0.5,False
17,intent,0.8833,0.5,False
17,outcome,0.6589,0.5,False
18,intent,0.8522,0.5,False
18,outcome,0.7233,0.5,False
19,intent,0.8478,0.5,False
19,outcome,0.7561,0.5,False
20,intent,0.8122,0.5,False
20,outcome,0.6767,0.5,False
21,intent,0.8217,0.5,False
21,outcome,0.6872,0.5,False
22,intent,0.7883,0.5,False
22,outcome,0.665,0.5,False
23,intent,0.75,0.5,False
23,outcome,0.6694,0.5,False
24,intent,0.7283,0.5,False
24,outcome,0.6489,0.5,False
