model,layer,is_peak,rel_depth,r_intent,r_outcome,partial_r_intent,partial_r_outcome,intent_org_ratio
OLMo-2-1124-7B,0,False,0.0,-0.0044,0.006,0.0013,0.0117,0.1013
OLMo-2-1124-7B,8,False,0.25,-0.001,0.0355,0.0048,0.042,0.1027
OLMo-2-1124-7B,15,True,0.469,0.0115,0.0632,0.0177,0.0705,0.2009
OLMo-2-1124-7B,16,False,0.5,0.0098,0.0559,0.016,0.063,0.202
OLMo-2-1124-7B,24,False,0.75,0.0013,0.0356,0.0072,0.0421,0.1466
OLMo-2-1124-7B,32,False,1.0,-0.0027,0.0166,0.0032,0.0226,0.1223
OLMo-2-1124-7B-Instruct,0,False,0.0,-0.0044,0.006,0.0013,0.0117,0.1025
OLMo-2-1124-7B-Instruct,8,False,0.25,-0.0002,0.0417,0.0057,0.0484,0.1059
OLMo-2-1124-7B-Instruct,15,True,0.469,0.0173,0.0917,0.0237,0.0999,0.1916
OLMo-2-1124-7B-Instruct,16,False,0.5,0.0147,0.0842,0.021,0.0922,0.1854
OLMo-2-1124-7B-Instruct,24,False,0.75,0.005,0.0543,0.011,0.0614,0.1525
OLMo-2-1124-7B-Instruct,32,False,1.0,0.0009,0.0359,0.0068,0.0425,0.1388
Qwen2.5-0.5B,0,False,0.0,-0.0048,0.0032,0.001,0.0088,0.0974
Qwen2.5-0.5B,6,False,0.25,-0.0035,0.0179,0.0023,0.0239,0.088
Qwen2.5-0.5B,9,True,0.375,-0.0022,0.0289,0.0036,0.0353,0.0927
Qwen2.5-0.5B,12,False,0.5,-0.0009,0.0398,0.0049,0.0465,0.0961
Qwen2.5-0.5B,18,False,0.75,-0.0025,0.0216,0.0033,0.0277,0.1073
Qwen2.5-0.5B,24,False,1.0,-0.004,0.0081,0.0017,0.0139,0.1115
Qwen2.5-0.5B-Instruct,0,False,0.0,-0.0048,0.0031,0.0009,0.0087,0.0964
Qwen2.5-0.5B-Instruct,6,False,0.25,-0.0035,0.0168,0.0023,0.0228,0.0908
Qwen2.5-0.5B-Instruct,12,False,0.5,-0.0007,0.0379,0.0051,0.0445,0.1035
Qwen2.5-0.5B-Instruct,14,True,0.583,-0.0008,0.0373,0.0051,0.0439,0.1042
Qwen2.5-0.5B-Instruct,18,False,0.75,-0.0016,0.0271,0.0042,0.0334,0.1126
Qwen2.5-0.5B-Instruct,24,False,1.0,-0.0036,0.0122,0.0021,0.0181,0.1056
Qwen2.5-1.5B,0,False,0.0,-0.0048,0.0023,0.0009,0.0079,0.1051
Qwen2.5-1.5B,7,False,0.25,-0.0041,0.0143,0.0017,0.0202,0.0757
Qwen2.5-1.5B,14,False,0.5,-0.0017,0.0275,0.0041,0.0338,0.1085
Qwen2.5-1.5B,20,True,0.714,-0.0005,0.0311,0.0053,0.0375,0.1248
Qwen2.5-1.5B,21,False,0.75,-0.0012,0.0309,0.0046,0.0374,0.1103
Qwen2.5-1.5B,28,False,1.0,-0.0031,0.0133,0.0027,0.0192,0.1238
Qwen2.5-1.5B-Instruct,0,False,0.0,-0.0048,0.0022,0.0009,0.0078,0.1032
Qwen2.5-1.5B-Instruct,7,False,0.25,-0.0041,0.0139,0.0016,0.0198,0.0761
Qwen2.5-1.5B-Instruct,14,False,0.5,-0.0015,0.0292,0.0043,0.0356,0.1085
Qwen2.5-1.5B-Instruct,18,True,0.643,-0.0005,0.0338,0.0054,0.0403,0.1176
Qwen2.5-1.5B-Instruct,21,False,0.75,-0.001,0.035,0.0049,0.0415,0.1053
Qwen2.5-1.5B-Instruct,28,False,1.0,-0.0026,0.0183,0.0032,0.0244,0.1158
Qwen2.5-7B,0,False,0.0,-0.0037,0.0071,0.0021,0.0129,0.1382
Qwen2.5-7B,7,False,0.25,-0.0028,0.0235,0.003,0.0297,0.0928
Qwen2.5-7B,14,False,0.5,-0.0008,0.0388,0.005,0.0455,0.0997
Qwen2.5-7B,18,True,0.643,0.0027,0.054,0.0087,0.0611,0.1245
Qwen2.5-7B,21,False,0.75,0.0028,0.0555,0.0088,0.0626,0.1228
Qwen2.5-7B,28,False,1.0,-0.0022,0.0225,0.0036,0.0287,0.1123
Qwen2.5-7B-Instruct,0,False,0.0,-0.0037,0.0072,0.0021,0.0129,0.139
Qwen2.5-7B-Instruct,7,False,0.25,-0.0028,0.0222,0.003,0.0283,0.0953
Qwen2.5-7B-Instruct,14,False,0.5,-0.0005,0.0408,0.0054,0.0475,0.1018
Qwen2.5-7B-Instruct,18,True,0.643,0.003,0.0578,0.009,0.065,0.1212
Qwen2.5-7B-Instruct,21,False,0.75,0.0025,0.0519,0.0085,0.0589,0.1258
Qwen2.5-7B-Instruct,28,False,1.0,-0.0024,0.0213,0.0034,0.0274,0.1099
