layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5575,0.5,False
1,outcome,0.5625,0.5,False
2,intent,0.535,0.5,False
2,outcome,0.5675,0.5,False
3,intent,0.6075,0.5,False
3,outcome,0.525,0.5,False
4,intent,0.6625,0.5,False
4,outcome,0.545,0.5,False
5,intent,0.89,0.5,False
5,outcome,0.6075,0.5,False
6,intent,0.8575,0.5,False
6,outcome,0.66,0.5,False
7,intent,0.83,0.5,False
7,outcome,0.6325,0.5,False
8,intent,0.875,0.5,False
8,outcome,0.69,0.5,False
9,intent,0.9025,0.5,False
9,outcome,0.6575,0.5,False
10,intent,0.935,0.5,False
10,outcome,0.7075,0.5,False
11,intent,0.925,0.5,False
11,outcome,0.72,0.5,False
12,intent,0.905,0.5,False
12,outcome,0.745,0.5,False
13,intent,0.9675,0.5,False
13,outcome,0.78,0.5,False
14,intent,0.9575,0.5,False
14,outcome,0.74,0.5,False
15,intent,1.0,0.5,False
15,outcome,0.73,0.5,False
16,intent,0.99,0.5,False
16,outcome,0.785,0.5,False
17,intent,0.99,0.5,False
17,outcome,0.7875,0.5,False
18,intent,0.9775,0.5,False
18,outcome,0.805,0.5,False
19,intent,0.9575,0.5,False
19,outcome,0.825,0.5,False
20,intent,0.9575,0.5,False
20,outcome,0.79,0.5,False
21,intent,0.95,0.5,False
21,outcome,0.7675,0.5,False
22,intent,0.95,0.5,False
22,outcome,0.7175,0.5,False
23,intent,0.9375,0.5,False
23,outcome,0.6975,0.5,False
24,intent,0.94,0.5,False
24,outcome,0.665,0.5,False
25,intent,0.905,0.5,False
25,outcome,0.6725,0.5,False
26,intent,0.875,0.5,False
26,outcome,0.7025,0.5,False
27,intent,0.8525,0.5,False
27,outcome,0.6625,0.5,False
28,intent,0.8525,0.5,False
28,outcome,0.6175,0.5,False
