layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5656,0.5,False
1,outcome,0.5256,0.5,False
2,intent,0.5783,0.5,False
2,outcome,0.5544,0.5,False
3,intent,0.5856,0.5,False
3,outcome,0.6006,0.5,False
4,intent,0.5367,0.5,False
4,outcome,0.5806,0.5,False
5,intent,0.5728,0.5,False
5,outcome,0.5706,0.5,False
6,intent,0.5639,0.5,False
6,outcome,0.6378,0.5,False
7,intent,0.6233,0.5,False
7,outcome,0.5694,0.5,False
8,intent,0.5756,0.5,False
8,outcome,0.6022,0.5,False
9,intent,0.61,0.5,False
9,outcome,0.6078,0.5,False
10,intent,0.6789,0.5,False
10,outcome,0.5539,0.5,False
11,intent,0.7239,0.5,False
11,outcome,0.655,0.5,False
12,intent,0.7606,0.5,False
12,outcome,0.6728,0.5,False
13,intent,0.7778,0.5,False
13,outcome,0.6522,0.5,False
14,intent,0.7822,0.5,False
14,outcome,0.6133,0.5,False
15,intent,0.7844,0.5,False
15,outcome,0.65,0.5,False
16,intent,0.7417,0.5,False
16,outcome,0.7261,0.5,False
17,intent,0.8011,0.5,False
17,outcome,0.7333,0.5,False
18,intent,0.7517,0.5,False
18,outcome,0.7383,0.5,False
19,intent,0.7522,0.5,False
19,outcome,0.7367,0.5,False
20,intent,0.7194,0.5,False
20,outcome,0.7039,0.5,False
21,intent,0.7528,0.5,False
21,outcome,0.7083,0.5,False
22,intent,0.7244,0.5,False
22,outcome,0.7167,0.5,False
23,intent,0.7194,0.5,False
23,outcome,0.6644,0.5,False
24,intent,0.735,0.5,False
24,outcome,0.7122,0.5,False
25,intent,0.715,0.5,False
25,outcome,0.7128,0.5,False
26,intent,0.7411,0.5,False
26,outcome,0.73,0.5,False
27,intent,0.735,0.5,False
27,outcome,0.7072,0.5,False
28,intent,0.7122,0.5,False
28,outcome,0.6694,0.5,False
