layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,False
0,outcome,0.5168,0.5168,False
1,intent,0.5769,0.5,False
1,outcome,0.8462,0.5168,False
2,intent,0.5463,0.5,False
2,outcome,0.89,0.5168,False
3,intent,0.577,0.5,False
3,outcome,0.91,0.5168,False
4,intent,0.5701,0.5,False
4,outcome,0.9733,0.5168,False
5,intent,0.6272,0.5,False
5,outcome,0.9733,0.5168,False
6,intent,0.6274,0.5,False
6,outcome,0.98,0.5168,False
7,intent,0.6306,0.5,False
7,outcome,0.9767,0.5168,False
8,intent,0.6203,0.5,False
8,outcome,0.9933,0.5168,False
9,intent,0.5834,0.5,False
9,outcome,0.99,0.5168,False
10,intent,0.661,0.5,False
10,outcome,0.9933,0.5168,False
11,intent,0.6915,0.5,False
11,outcome,0.9933,0.5168,False
12,intent,0.7283,0.5,False
12,outcome,0.9933,0.5168,False
13,intent,0.7894,0.5,False
13,outcome,0.9933,0.5168,False
14,intent,0.8155,0.5,False
14,outcome,0.9967,0.5168,False
15,intent,0.8326,0.5,False
15,outcome,0.9967,0.5168,False
16,intent,0.8391,0.5,False
16,outcome,1.0,0.5168,False
17,intent,0.8461,0.5,False
17,outcome,1.0,0.5168,False
18,intent,0.8128,0.5,False
18,outcome,1.0,0.5168,False
19,intent,0.8828,0.5,False
19,outcome,0.9967,0.5168,False
20,intent,0.842,0.5,False
20,outcome,0.9967,0.5168,False
21,intent,0.7918,0.5,False
21,outcome,0.9933,0.5168,False
22,intent,0.752,0.5,False
22,outcome,1.0,0.5168,False
23,intent,0.7786,0.5,False
23,outcome,0.9933,0.5168,False
24,intent,0.7279,0.5,False
24,outcome,0.9933,0.5168,False
25,intent,0.7247,0.5,False
25,outcome,0.9933,0.5168,False
26,intent,0.7313,0.5,False
26,outcome,0.9933,0.5168,False
27,intent,0.6646,0.5,False
27,outcome,0.9933,0.5168,False
28,intent,0.6274,0.5,False
28,outcome,0.9933,0.5168,False
