layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.52,0.5,False
1,outcome,0.51,0.5,False
2,intent,0.5725,0.5,False
2,outcome,0.535,0.5,False
3,intent,0.6025,0.5,False
3,outcome,0.475,0.5,False
4,intent,0.535,0.5,False
4,outcome,0.5975,0.5,False
5,intent,0.5575,0.5,False
5,outcome,0.5575,0.5,False
6,intent,0.64,0.5,False
6,outcome,0.5975,0.5,False
7,intent,0.5675,0.5,False
7,outcome,0.5625,0.5,False
8,intent,0.62,0.5,False
8,outcome,0.5825,0.5,False
9,intent,0.5625,0.5,False
9,outcome,0.555,0.5,False
10,intent,0.65,0.5,False
10,outcome,0.5075,0.5,False
11,intent,0.745,0.5,False
11,outcome,0.6675,0.5,False
12,intent,0.705,0.5,False
12,outcome,0.62,0.5,False
13,intent,0.6775,0.5,False
13,outcome,0.6125,0.5,False
14,intent,0.7775,0.5,False
14,outcome,0.6275,0.5,False
15,intent,0.7175,0.5,False
15,outcome,0.62,0.5,False
16,intent,0.68,0.5,False
16,outcome,0.7275,0.5,False
17,intent,0.7675,0.5,False
17,outcome,0.695,0.5,False
18,intent,0.7275,0.5,False
18,outcome,0.6525,0.5,False
19,intent,0.765,0.5,False
19,outcome,0.6775,0.5,False
20,intent,0.7225,0.5,False
20,outcome,0.68,0.5,False
21,intent,0.74,0.5,False
21,outcome,0.72,0.5,False
22,intent,0.7025,0.5,False
22,outcome,0.67,0.5,False
23,intent,0.68,0.5,False
23,outcome,0.6675,0.5,False
24,intent,0.68,0.5,False
24,outcome,0.67,0.5,False
25,intent,0.7275,0.5,False
25,outcome,0.69,0.5,False
26,intent,0.6675,0.5,False
26,outcome,0.6675,0.5,False
27,intent,0.68,0.5,False
27,outcome,0.68,0.5,False
28,intent,0.6725,0.5,False
28,outcome,0.705,0.5,False
