model,layer,hypothesis,obs_r,null_mean,empirical_p,n_perm
OLMo-2-1124-7B,15,intent,0.0115,-0.0057,0.001,1000
OLMo-2-1124-7B,15,outcome,0.0632,-0.006,0.001,1000
OLMo-2-1124-7B-Instruct,15,intent,0.0173,-0.0057,0.001,1000
OLMo-2-1124-7B-Instruct,15,outcome,0.0917,-0.0064,0.001,1000
Qwen2.5-0.5B,9,intent,-0.0022,-0.0057,1.0,1000
Qwen2.5-0.5B,9,outcome,0.0289,-0.0039,0.001,1000
Qwen2.5-0.5B-Instruct,14,intent,-0.0008,-0.0057,1.0,1000
Qwen2.5-0.5B-Instruct,14,outcome,0.0373,-0.0039,0.001,1000
Qwen2.5-1.5B,20,intent,-0.0005,-0.0057,1.0,1000
Qwen2.5-1.5B,20,outcome,0.0311,-0.0039,0.001,1000
Qwen2.5-1.5B-Instruct,18,intent,-0.0005,-0.0057,1.0,1000
Qwen2.5-1.5B-Instruct,18,outcome,0.0338,-0.0039,0.001,1000
Qwen2.5-7B,18,intent,0.0027,-0.0057,0.999,1000
Qwen2.5-7B,18,outcome,0.054,-0.0038,0.001,1000
Qwen2.5-7B-Instruct,18,intent,0.003,-0.0057,0.996,1000
Qwen2.5-7B-Instruct,18,outcome,0.0578,-0.0038,0.001,1000
