model_a,model_b,rsa_spearman,cka_linear,abs_behavioral_diff
OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,0.9141,0.9409,0.447
OLMo-2-1124-7B,Qwen2.5-0.5B,0.3994,0.2538,0.016
OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,0.3934,0.2876,0.024
OLMo-2-1124-7B,Qwen2.5-1.5B,0.3773,0.2286,0.023
OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,0.3783,0.2033,0.104
OLMo-2-1124-7B,Qwen2.5-7B,0.408,0.2179,0.038
OLMo-2-1124-7B,Qwen2.5-7B-Instruct,0.4346,0.2071,0.226
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,0.4625,0.2645,0.463
OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,0.4406,0.2983,0.423
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,0.4531,0.2372,0.47
OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,0.4436,0.2109,0.343
OLMo-2-1124-7B-Instruct,Qwen2.5-7B,0.474,0.225,0.485
OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,0.5029,0.2138,0.221
Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,0.8797,0.9913,0.04
Qwen2.5-0.5B,Qwen2.5-1.5B,0.8098,0.9666,0.007
Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,0.8396,0.9638,0.12
Qwen2.5-0.5B,Qwen2.5-7B,0.7723,0.9604,0.022
Qwen2.5-0.5B,Qwen2.5-7B-Instruct,0.7921,0.9605,0.242
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,0.7788,0.9623,0.047
Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,0.8218,0.9581,0.08
Qwen2.5-0.5B-Instruct,Qwen2.5-7B,0.7411,0.9534,0.062
Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,0.7795,0.9541,0.202
Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,0.9493,0.9962,0.127
Qwen2.5-1.5B,Qwen2.5-7B,0.801,0.9511,0.015
Qwen2.5-1.5B,Qwen2.5-7B-Instruct,0.8298,0.9598,0.249
Qwen2.5-1.5B-Instruct,Qwen2.5-7B,0.7778,0.9498,0.142
Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,0.82,0.9604,0.122
Qwen2.5-7B,Qwen2.5-7B-Instruct,0.9791,0.9945,0.264
