layer,target,cv_acc,chance,degenerate
0,intent,0.5034,0.5,False
0,outcome,0.5172,0.5172,False
1,intent,0.5655,0.5,False
1,outcome,0.5931,0.5172,False
2,intent,0.5897,0.5,False
2,outcome,0.5621,0.5172,False
3,intent,0.569,0.5,False
3,outcome,0.5931,0.5172,False
4,intent,0.6069,0.5,False
4,outcome,0.5897,0.5172,False
5,intent,0.6966,0.5,False
5,outcome,0.5966,0.5172,False
6,intent,0.7655,0.5,False
6,outcome,0.6586,0.5172,False
7,intent,0.6966,0.5,False
7,outcome,0.6,0.5172,False
8,intent,0.6828,0.5,False
8,outcome,0.6103,0.5172,False
9,intent,0.7345,0.5,False
9,outcome,0.6138,0.5172,False
10,intent,0.7034,0.5,False
10,outcome,0.6448,0.5172,False
11,intent,0.769,0.5,False
11,outcome,0.6414,0.5172,False
12,intent,0.769,0.5,False
12,outcome,0.6483,0.5172,False
13,intent,0.7793,0.5,False
13,outcome,0.6897,0.5172,False
14,intent,0.8138,0.5,False
14,outcome,0.7276,0.5172,False
15,intent,0.831,0.5,False
15,outcome,0.7172,0.5172,False
16,intent,0.8966,0.5,False
16,outcome,0.7138,0.5172,False
17,intent,0.8966,0.5,False
17,outcome,0.7241,0.5172,False
18,intent,0.9241,0.5,False
18,outcome,0.7276,0.5172,False
19,intent,0.9138,0.5,False
19,outcome,0.7517,0.5172,False
20,intent,0.8966,0.5,False
20,outcome,0.769,0.5172,False
21,intent,0.869,0.5,False
21,outcome,0.769,0.5172,False
22,intent,0.8724,0.5,False
22,outcome,0.7793,0.5172,False
23,intent,0.8517,0.5,False
23,outcome,0.7828,0.5172,False
24,intent,0.8379,0.5,False
24,outcome,0.7586,0.5172,False
25,intent,0.8586,0.5,False
25,outcome,0.7621,0.5172,False
26,intent,0.8483,0.5,False
26,outcome,0.7621,0.5172,False
27,intent,0.8448,0.5,False
27,outcome,0.7552,0.5172,False
28,intent,0.831,0.5,False
28,outcome,0.7241,0.5172,False
