layer,target,cv_acc,chance,degenerate
0,intent,0.55,0.5,False
0,outcome,0.7892,0.5168,False
1,intent,0.5369,0.5,False
1,outcome,0.789,0.5168,False
2,intent,0.5701,0.5,False
2,outcome,0.7855,0.5168,False
3,intent,0.5909,0.5,False
3,outcome,0.7957,0.5168,False
4,intent,0.5903,0.5,False
4,outcome,0.7993,0.5168,False
5,intent,0.6108,0.5,False
5,outcome,0.8125,0.5168,False
6,intent,0.6345,0.5,False
6,outcome,0.8494,0.5168,False
7,intent,0.6211,0.5,False
7,outcome,0.8431,0.5168,False
8,intent,0.6515,0.5,False
8,outcome,0.8766,0.5168,False
9,intent,0.6779,0.5,False
9,outcome,0.8962,0.5168,False
10,intent,0.6747,0.5,False
10,outcome,0.9094,0.5168,False
11,intent,0.7391,0.5,False
11,outcome,0.9663,0.5168,False
12,intent,0.7187,0.5,False
12,outcome,0.9466,0.5168,False
13,intent,0.7753,0.5,False
13,outcome,0.9733,0.5168,False
14,intent,0.8357,0.5,False
14,outcome,0.97,0.5168,False
15,intent,0.8663,0.5,False
15,outcome,0.97,0.5168,False
16,intent,0.8093,0.5,False
16,outcome,0.96,0.5168,False
17,intent,0.7897,0.5,False
17,outcome,0.9464,0.5168,False
18,intent,0.793,0.5,False
18,outcome,0.9464,0.5168,False
19,intent,0.746,0.5,False
19,outcome,0.9028,0.5168,False
20,intent,0.7322,0.5,False
20,outcome,0.9166,0.5168,False
21,intent,0.7355,0.5,False
21,outcome,0.8866,0.5168,False
22,intent,0.7324,0.5,False
22,outcome,0.8764,0.5168,False
23,intent,0.7191,0.5,False
23,outcome,0.8663,0.5168,False
24,intent,0.7191,0.5,False
24,outcome,0.8597,0.5168,False
25,intent,0.6655,0.5,False
25,outcome,0.833,0.5168,False
26,intent,0.6785,0.5,False
26,outcome,0.8298,0.5168,False
27,intent,0.6853,0.5,False
27,outcome,0.8229,0.5168,False
28,intent,0.6815,0.5,False
28,outcome,0.8059,0.5168,False
29,intent,0.6651,0.5,False
29,outcome,0.7959,0.5168,False
30,intent,0.6753,0.5,False
30,outcome,0.7992,0.5168,False
31,intent,0.6884,0.5,False
31,outcome,0.8092,0.5168,False
32,intent,0.6882,0.5,False
32,outcome,0.8057,0.5168,False
