model_tag,definition,peak_intent_layer,peak_intent_acc,pearson_r,ci_lo,ci_hi,spearman_rho,spearman_p,n
OLMo-2-1124-7B-Instruct,primary,16,0.8495,-0.11888,-0.47008,0.22033,-0.19192,0.19127,48
OLMo-2-1124-7B-Instruct,matched,16,0.8495,0.31742,0.02724,0.55294,0.25101,0.06984,53
OLMo-2-1124-7B,primary,16,0.8492,0.06518,-0.25723,0.36172,0.04136,0.78016,48
OLMo-2-1124-7B,matched,16,0.8492,-0.0072,-0.20671,0.18997,0.01089,0.93834,53
Qwen2.5-0.5B-Instruct,primary,21,0.6951,0.16851,-0.10664,0.42538,0.19268,0.18949,48
Qwen2.5-0.5B-Instruct,matched,21,0.6951,-0.26087,-0.58737,0.17517,-0.11095,0.42899,53
Qwen2.5-0.5B,primary,12,0.6714,0.10815,-0.14507,0.36483,0.20191,0.16875,48
Qwen2.5-0.5B,matched,12,0.6714,-0.07813,-0.31692,0.24724,0.09555,0.49614,53
Qwen2.5-1.5B-Instruct,primary,20,0.7552,0.00781,-0.30373,0.3143,-0.02974,0.84095,48
Qwen2.5-1.5B-Instruct,matched,20,0.7552,-0.00986,-0.33773,0.32378,-0.07491,0.59398,53
Qwen2.5-1.5B,primary,13,0.7387,0.29938,0.01925,0.51584,0.25619,0.07882,48
Qwen2.5-1.5B,matched,13,0.7387,-0.04852,-0.32226,0.20303,-0.16538,0.23664,53
Qwen2.5-7B-Instruct,primary,19,0.8795,0.05142,-0.29867,0.36739,-0.03376,0.8198,48
Qwen2.5-7B-Instruct,matched,19,0.8795,0.21375,-0.08607,0.46638,0.15635,0.26358,53
Qwen2.5-7B,primary,19,0.8828,-0.08642,-0.37352,0.17165,-0.18042,0.21978,48
Qwen2.5-7B,matched,19,0.8828,0.10628,-0.24664,0.41619,0.03104,0.82535,53
,,,,,,,,,
"POOLED (primary), model as random effect",primary,,,0.06189,-0.14631,0.2701,,0.5601,384
"POOLED (matched), model as random effect",matched,,,0.02911,-0.16492,0.22314,,0.7687,424
