layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,False
0,outcome,0.5168,0.5168,False
1,intent,0.5334,0.5,False
1,outcome,0.8398,0.5168,False
2,intent,0.5766,0.5,False
2,outcome,0.8329,0.5168,False
3,intent,0.5537,0.5,False
3,outcome,0.9333,0.5168,False
4,intent,0.5402,0.5,False
4,outcome,0.9099,0.5168,False
5,intent,0.567,0.5,False
5,outcome,0.9131,0.5168,False
6,intent,0.5805,0.5,False
6,outcome,0.9366,0.5168,False
7,intent,0.5601,0.5,False
7,outcome,0.9664,0.5168,False
8,intent,0.6008,0.5,False
8,outcome,0.9333,0.5168,False
9,intent,0.6341,0.5,False
9,outcome,0.9933,0.5168,False
10,intent,0.6105,0.5,False
10,outcome,0.9833,0.5168,False
11,intent,0.7083,0.5,False
11,outcome,0.9933,0.5168,False
12,intent,0.6779,0.5,False
12,outcome,0.99,0.5168,False
13,intent,0.6611,0.5,False
13,outcome,0.99,0.5168,False
14,intent,0.6844,0.5,False
14,outcome,0.9967,0.5168,False
15,intent,0.6876,0.5,False
15,outcome,0.9933,0.5168,False
16,intent,0.6984,0.5,False
16,outcome,0.9933,0.5168,False
17,intent,0.7283,0.5,False
17,outcome,1.0,0.5168,False
18,intent,0.7215,0.5,False
18,outcome,0.9967,0.5168,False
19,intent,0.6811,0.5,False
19,outcome,0.9967,0.5168,False
20,intent,0.7552,0.5,False
20,outcome,0.9933,0.5168,False
21,intent,0.7218,0.5,False
21,outcome,0.99,0.5168,False
22,intent,0.6852,0.5,False
22,outcome,1.0,0.5168,False
23,intent,0.7253,0.5,False
23,outcome,1.0,0.5168,False
24,intent,0.7116,0.5,False
24,outcome,0.99,0.5168,False
25,intent,0.6978,0.5,False
25,outcome,0.99,0.5168,False
26,intent,0.6639,0.5,False
26,outcome,0.99,0.5168,False
27,intent,0.6738,0.5,False
27,outcome,0.99,0.5168,False
28,intent,0.6774,0.5,False
28,outcome,0.99,0.5168,False
