model,layer,is_peak,rel_depth,r_intent,r_outcome,partial_r_intent,partial_r_outcome,intent_org_ratio
OLMo-2-1124-7B,0,False,0.0,0.0002,-0.0039,0.0006,-0.0035,0.1361
OLMo-2-1124-7B,8,False,0.25,0.0008,-0.0027,0.0065,0.0026,0.7164
OLMo-2-1124-7B,16,False,0.5,0.0592,0.0165,0.0665,0.0223,0.7492
OLMo-2-1124-7B,18,True,0.562,0.0519,0.019,0.059,0.0249,0.7036
OLMo-2-1124-7B,24,False,0.75,0.0426,0.0185,0.0495,0.0244,0.6702
OLMo-2-1124-7B,32,False,1.0,0.0223,0.0163,0.0289,0.0222,0.5649
OLMo-2-1124-7B-Instruct,0,False,0.0,-0.0001,-0.0036,0.0003,-0.0032,0.0977
OLMo-2-1124-7B-Instruct,8,False,0.25,0.0008,-0.003,0.0065,0.0023,0.7408
OLMo-2-1124-7B-Instruct,14,True,0.438,0.0637,0.022,0.071,0.0278,0.7188
OLMo-2-1124-7B-Instruct,16,False,0.5,0.0826,0.0368,0.0903,0.043,0.6774
OLMo-2-1124-7B-Instruct,24,False,0.75,0.0425,0.0459,0.0492,0.0524,0.4843
OLMo-2-1124-7B-Instruct,32,False,1.0,0.043,0.0563,0.0501,0.0634,0.4413
Qwen2.5-0.5B,0,False,0.0,0.0003,-0.0033,0.0005,-0.0031,0.1331
Qwen2.5-0.5B,6,False,0.25,-0.0033,-0.0037,0.0024,0.0017,0.5966
Qwen2.5-0.5B,12,False,0.5,-0.0006,-0.0015,0.0051,0.0038,0.574
Qwen2.5-0.5B,15,True,0.625,0.0009,0.0024,0.0066,0.0078,0.4591
Qwen2.5-0.5B,18,False,0.75,-0.0025,0.0045,0.0031,0.01,0.2345
Qwen2.5-0.5B,24,False,1.0,-0.0037,0.0042,0.002,0.0097,0.1691
Qwen2.5-0.5B-Instruct,0,False,0.0,0.0003,-0.0033,0.0005,-0.0031,0.1334
Qwen2.5-0.5B-Instruct,6,False,0.25,-0.0031,-0.0036,0.0027,0.0017,0.6043
Qwen2.5-0.5B-Instruct,12,False,0.5,-0.0007,-0.0014,0.005,0.0039,0.5637
Qwen2.5-0.5B-Instruct,15,True,0.625,0.0017,0.0013,0.0074,0.0066,0.5281
Qwen2.5-0.5B-Instruct,18,False,0.75,-0.0023,0.0018,0.0033,0.0072,0.3159
Qwen2.5-0.5B-Instruct,24,False,1.0,-0.0034,0.0017,0.0024,0.0073,0.2482
Qwen2.5-1.5B,0,False,0.0,0.0,-0.004,0.0004,-0.0037,0.0971
Qwen2.5-1.5B,7,False,0.25,-0.0032,-0.0037,0.0025,0.0016,0.6105
Qwen2.5-1.5B,14,False,0.5,0.0041,-0.0014,0.0099,0.0039,0.7166
Qwen2.5-1.5B,21,False,0.75,0.0072,0.0061,0.013,0.0115,0.5302
Qwen2.5-1.5B,25,True,0.893,0.0053,0.0083,0.0112,0.0139,0.4451
Qwen2.5-1.5B,28,False,1.0,0.002,0.0071,0.0078,0.0127,0.3812
Qwen2.5-1.5B-Instruct,0,False,0.0,-0.0002,-0.0042,0.0002,-0.0038,0.0581
Qwen2.5-1.5B-Instruct,7,False,0.25,-0.0032,-0.0043,0.0025,0.001,0.7175
Qwen2.5-1.5B-Instruct,14,False,0.5,0.0058,-0.001,0.0116,0.0043,0.7321
Qwen2.5-1.5B-Instruct,17,True,0.607,0.0113,0.0102,0.0172,0.0157,0.5231
Qwen2.5-1.5B-Instruct,21,False,0.75,0.0155,0.0122,0.0216,0.0178,0.548
Qwen2.5-1.5B-Instruct,28,False,1.0,0.0099,0.0128,0.016,0.0185,0.4626
Qwen2.5-7B,0,False,0.0,-0.0,-0.004,0.0004,-0.0037,0.0954
Qwen2.5-7B,7,False,0.25,-0.0019,-0.0023,0.0038,0.003,0.5565
Qwen2.5-7B,14,False,0.5,0.008,0.0024,0.0138,0.0077,0.6417
Qwen2.5-7B,17,True,0.607,0.0377,0.0089,0.0443,0.0144,0.755
Qwen2.5-7B,21,False,0.75,0.0279,0.0196,0.0343,0.0254,0.5747
Qwen2.5-7B,28,False,1.0,0.0032,0.0084,0.0091,0.0141,0.3942
Qwen2.5-7B-Instruct,0,False,0.0,0.0003,-0.0033,0.0005,-0.0031,0.1334
Qwen2.5-7B-Instruct,7,False,0.25,-0.0022,-0.0036,0.0034,0.0016,0.6813
Qwen2.5-7B-Instruct,14,False,0.5,0.011,0.0025,0.0169,0.0079,0.6827
Qwen2.5-7B-Instruct,18,True,0.643,0.0776,0.0202,0.0852,0.026,0.7664
Qwen2.5-7B-Instruct,21,False,0.75,0.0512,0.0214,0.0581,0.0272,0.6811
Qwen2.5-7B-Instruct,28,False,1.0,0.012,0.0103,0.018,0.0159,0.5307
