model,size_B,type,provider,contrast,ci_lo,ci_hi,sig_vs_0,intent_reliance,ir_lo,ir_hi,b_intent,b_outcome,contrast_sd_across_templates,contrast_range,sign_flips_across_prompts,nearest_human_group,contrast_minus_adult,rating_std,degenerate,n_scenario_groups
unsloth_Meta-Llama-3_1-8B,8.0,base,,0.0025,-0.0023,0.0071,no,0.7204,0.3491,0.9747,0.0047,-0.0018,0.0024,0.0076,True,child_4_5,-0.6635,0.0238,False,53
Qwen_Qwen2_5-0_5B,5.0,base,,0.0004,-0.0034,0.0044,no,0.3564,0.0251,0.9173,0.0008,0.0014,0.0093,0.0347,True,child_4_5,-0.6656,0.0264,False,53
unsloth_gemma-2-9b,9.0,base,Google,-0.0002,-0.0015,0.0011,no,0.7779,0.3908,0.975,0.0015,0.0004,0.0018,0.0067,True,child_4_5,-0.6662,0.0064,True,53
mistralai_Mistral-7B-v0_3,7.0,base,,-0.0026,-0.0052,-0.0,yes,0.2829,0.03,0.7557,0.0011,0.0027,0.0064,0.0235,True,child_4_5,-0.6686,0.0153,True,53
allenai_OLMo-2-1124-7B,7.3,base,AllenAI,-0.0043,-0.0104,0.0018,no,0.3388,0.0512,0.8537,0.003,0.0059,0.0085,0.0316,True,child_4_5,-0.6703,0.027,False,53
Qwen_Qwen2_5-1_5B,5.0,base,,-0.0128,-0.0182,-0.0074,yes,0.339,0.0219,0.9242,-0.0022,0.0042,0.0077,0.0239,False,child_4_5,-0.6788,0.049,False,53
Qwen_Qwen2_5-3B,3.0,base,,-0.0483,-0.0544,-0.0418,yes,0.0462,0.0033,0.0974,-0.0025,0.0513,0.0266,0.0824,False,child_4_5,-0.7143,0.0405,False,53
Qwen_Qwen2_5-0_5B-Instruct,5.0,instruct,,-0.0502,-0.0612,-0.0402,yes,0.0315,0.0017,0.114,0.0015,0.0465,0.0457,0.1679,True,child_4_5,-0.7162,0.0483,False,53
Qwen_Qwen2_5-7B,7.0,base,,-0.0511,-0.0582,-0.0442,yes,0.0098,0.0009,0.0773,0.0005,0.0546,0.0236,0.0731,False,child_4_5,-0.7171,0.043,False,53
Qwen_Qwen2_5-14B,14.0,base,,-0.1257,-0.139,-0.1115,yes,0.0119,0.001,0.0702,0.0015,0.123,0.0913,0.2819,False,child_4_5,-0.7917,0.0749,False,53
Qwen_Qwen2_5-1_5B-Instruct,5.0,instruct,,-0.1665,-0.1832,-0.1498,yes,0.0566,0.0247,0.0882,0.0105,0.1753,0.0788,0.3141,True,child_4_5,-0.8325,0.0995,False,53
unsloth_Meta-Llama-3_1-8B-Instruct,8.0,instruct,Meta,-0.2016,-0.2316,-0.1726,yes,0.1952,0.1339,0.25,0.061,0.2514,0.0481,0.1906,False,child_4_5,-0.8676,0.1739,False,53
Qwen_Qwen2_5-7B-Instruct,7.0,instruct,,-0.2382,-0.2661,-0.2105,yes,0.1442,0.0964,0.1916,0.0484,0.2873,0.0796,0.2593,False,child_4_5,-0.9042,0.1777,False,53
Qwen_Qwen2_5-3B-Instruct,3.0,instruct,,-0.2469,-0.2751,-0.2195,yes,0.0424,0.004,0.0891,0.0114,0.2571,0.1087,0.358,False,child_4_5,-0.9129,0.1637,False,53
Qwen_Qwen2_5-14B-Instruct,14.0,instruct,,-0.3699,-0.4089,-0.3296,yes,0.1879,0.1454,0.2272,0.1077,0.4652,0.0814,0.3519,False,child_4_5,-1.0359,0.2818,False,53
allenai_Llama-3_1-Tulu-3-8B,8.0,instruct,AllenAI,-0.4008,-0.4418,-0.3611,yes,0.1276,0.0936,0.1622,0.0662,0.4524,0.066,0.1819,False,child_4_5,-1.0668,0.2604,False,53
unsloth_gemma-2-9b-it,9.0,instruct,Google,-0.4079,-0.4638,-0.3534,yes,0.1824,0.1344,0.2287,0.1127,0.5053,0.0808,0.2441,False,child_4_5,-1.0739,0.326,False,53
mistralai_Mistral-7B-Instruct-v0_3,7.0,instruct,,-0.4735,-0.5104,-0.4378,yes,0.1022,0.0739,0.1299,0.0595,0.5232,0.0635,0.224,False,child_4_5,-1.1395,0.2933,False,53
HuggingFaceH4_zephyr-7b-beta,7.2,instruct,HuggingFaceH4,-0.5513,-0.6026,-0.5019,yes,0.0857,0.0539,0.1208,0.0556,0.5932,0.0998,0.3366,False,child_4_5,-1.2173,0.33,False,53
allenai_OLMo-2-1124-7B-Instruct,7.3,instruct,AllenAI,-0.6458,-0.7031,-0.5865,yes,0.0482,0.0191,0.0812,0.0342,0.6758,0.1889,0.6023,False,child_4_5,-1.3118,0.3619,False,53
