pooling,span,model,intent_probe,outcome_probe,intent_tfidf,outcome_tfidf,intent_gap,outcome_gap,intent_minus_outcome,larger
belief_last,belief_last,OLMo-2-1124-7B,0.9724,0.9,0.5906,0.5807,0.3818,0.3193,0.0625,intent
belief_last,belief_last,OLMo-2-1124-7B-Instruct,0.9828,0.9241,0.5906,0.5807,0.3922,0.3434,0.0488,intent
belief_last,belief_last,Qwen2.5-0.5B,0.9,0.7931,0.5906,0.5807,0.3094,0.2124,0.097,intent
belief_last,belief_last,Qwen2.5-0.5B-Instruct,0.9034,0.7931,0.5906,0.5807,0.3128,0.2124,0.1004,intent
belief_last,belief_last,Qwen2.5-1.5B,0.9483,0.8103,0.5906,0.5807,0.3577,0.2296,0.1281,intent
belief_last,belief_last,Qwen2.5-1.5B-Instruct,0.9517,0.8552,0.5906,0.5807,0.3611,0.2745,0.0866,intent
belief_last,belief_last,Qwen2.5-7B,0.9655,0.8724,0.5906,0.5807,0.3749,0.2917,0.0832,intent
belief_last,belief_last,Qwen2.5-7B-Instruct,0.9655,0.8655,0.5906,0.5807,0.3749,0.2848,0.0901,intent
action_last,action_last,OLMo-2-1124-7B,0.9103,0.8241,0.5669,0.611,0.3434,0.2131,0.1303,intent
action_last,action_last,OLMo-2-1124-7B-Instruct,0.9034,0.8621,0.5669,0.611,0.3365,0.2511,0.0854,intent
action_last,action_last,Qwen2.5-0.5B,0.6759,0.7,0.5669,0.611,0.109,0.089,0.02,intent
action_last,action_last,Qwen2.5-0.5B-Instruct,0.7069,0.6448,0.5669,0.611,0.14,0.0338,0.1062,intent
action_last,action_last,Qwen2.5-1.5B,0.7586,0.7414,0.5669,0.611,0.1917,0.1304,0.0613,intent
action_last,action_last,Qwen2.5-1.5B-Instruct,0.8,0.7897,0.5669,0.611,0.2331,0.1787,0.0544,intent
action_last,action_last,Qwen2.5-7B,0.8931,0.769,0.5669,0.611,0.3262,0.158,0.1682,intent
action_last,action_last,Qwen2.5-7B-Instruct,0.9241,0.7828,0.5669,0.611,0.3572,0.1718,0.1854,intent
mean,full,OLMo-2-1124-7B,0.8663,0.9733,0.5937,0.7548,0.2726,0.2185,0.0541,intent
mean,full,OLMo-2-1124-7B-Instruct,0.8694,0.9967,0.5937,0.7548,0.2757,0.2419,0.0338,intent
mean,full,Qwen2.5-0.5B,0.6543,0.9432,0.5937,0.7548,0.0606,0.1884,-0.1278,outcome
mean,full,Qwen2.5-0.5B-Instruct,0.6606,0.9466,0.5937,0.7548,0.0669,0.1918,-0.1249,outcome
mean,full,Qwen2.5-1.5B,0.7193,0.923,0.5937,0.7548,0.1256,0.1682,-0.0426,outcome
mean,full,Qwen2.5-1.5B-Instruct,0.7186,0.9329,0.5937,0.7548,0.1249,0.1781,-0.0532,outcome
mean,full,Qwen2.5-7B,0.8225,0.9733,0.5937,0.7548,0.2288,0.2185,0.0103,intent
mean,full,Qwen2.5-7B-Instruct,0.8459,0.98,0.5937,0.7548,0.2522,0.2252,0.027,intent
last,full,OLMo-2-1124-7B,0.8492,1.0,0.5937,0.7548,0.2555,0.2452,0.0103,intent
last,full,OLMo-2-1124-7B-Instruct,0.8495,1.0,0.5937,0.7548,0.2558,0.2452,0.0106,intent
last,full,Qwen2.5-0.5B,0.6714,0.9933,0.5937,0.7548,0.0777,0.2385,-0.1608,outcome
last,full,Qwen2.5-0.5B-Instruct,0.6951,0.98,0.5937,0.7548,0.1014,0.2252,-0.1238,outcome
last,full,Qwen2.5-1.5B,0.7387,1.0,0.5937,0.7548,0.145,0.2452,-0.1002,outcome
last,full,Qwen2.5-1.5B-Instruct,0.7552,1.0,0.5937,0.7548,0.1615,0.2452,-0.0837,outcome
last,full,Qwen2.5-7B,0.8828,1.0,0.5937,0.7548,0.2891,0.2452,0.0439,intent
last,full,Qwen2.5-7B-Instruct,0.8795,1.0,0.5937,0.7548,0.2858,0.2452,0.0406,intent
,,,,,,,,,,
pooling,span,n_models,n_intent_larger,mean_diff,sign_test_p,tfidf_intent,tfidf_outcome
belief_last,belief_last,8,8,0.0871,0.0078,0.5906,0.5807
action_last,action_last,8,8,0.1014,0.0078,0.5669,0.611
mean,full,8,4,-0.0279,1.0,0.5937,0.7548
last,full,8,4,-0.0454,1.0,0.5937,0.7548
