layer,depth_frac,direction,alpha,a_max,typical_norm,contrast,dcontrast,ppl_ratio,refusal_delta,degenerate_frac,answer_rate,coherent,intent_probe_cv_acc,intent_acc_unsteered,intent_acc_steered,intent_d_acc,intent_margin_shift_sd,cell_neutral,cell_accidental,cell_attempted,cell_intentional
5,0.156,intent_dom,-0.8,0.8,3.6,0.0943,0.5395,1.004,0.0,0.0,0.95,True,0.53,0.5302,0.5302,0.0,0.0,0.3354,0.3545,0.4036,0.3811
5,0.156,intent_dom,-0.4,0.8,3.6,-0.2238,0.2214,0.974,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1008,0.4731,0.209,0.4623
5,0.156,intent_dom,0.4,0.8,3.6,-0.4121,0.0331,1.05,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1796,0.8487,0.442,0.8313
5,0.156,intent_dom,0.8,0.8,3.6,-0.2837,0.1615,1.029,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.3155,0.8115,0.5267,0.8032
5,0.156,intent_probe,-0.8,0.8,3.6,-0.1367,0.3085,1.273,0.0,0.0,0.9,True,0.53,0.5302,0.5302,0.0,0.0,0.1664,0.4702,0.2802,0.4796
5,0.156,intent_probe,-0.4,0.8,3.6,-0.2338,0.2115,1.039,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1562,0.5932,0.3276,0.5864
5,0.156,intent_probe,0.4,0.8,3.6,-0.4035,0.0417,1.088,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1145,0.7179,0.3117,0.7159
5,0.156,intent_probe,0.8,0.8,3.6,-0.2497,0.1955,1.471,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1838,0.6701,0.4192,0.6787
5,0.156,outcome_dom,-0.8,0.8,3.6,-0.3442,0.101,1.038,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1189,0.5653,0.1913,0.5362
5,0.156,outcome_dom,-0.4,0.8,3.6,-0.4394,0.0058,1.012,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1118,0.6969,0.2437,0.6704
5,0.156,outcome_dom,0.4,0.8,3.6,-0.2942,0.151,1.035,0.0,0.0,0.95,True,0.53,0.5302,0.5302,0.0,0.0,0.2398,0.6882,0.377,0.681
5,0.156,outcome_dom,0.8,0.8,3.6,-0.1111,0.3341,1.121,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.5339,0.6544,0.5207,0.6857
5,0.156,random0,-0.8,0.8,3.6,-0.3825,0.0628,1.207,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1855,0.668,0.2674,0.6508
5,0.156,random0,-0.4,0.8,3.6,-0.4046,0.0406,0.952,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1066,0.6934,0.2804,0.6774
5,0.156,random0,0.4,0.8,3.6,-0.4257,0.0195,1.005,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.1678,0.7897,0.3557,0.7698
5,0.156,random0,0.8,0.8,3.6,-0.186,0.2592,1.153,0.0,0.0,1.0,True,0.53,0.5302,0.5302,0.0,0.0,0.2914,0.5985,0.3947,0.5709
