story_id,llm_either,raw
YS2008-COFFEE-neutral,1,YES
YS2008-COFFEE-accidental,1,YES
YS2008-COFFEE-attempted,0,NO
YS2008-COFFEE-intentional,1,YES
YS2008-LAB-neutral,1,YES
YS2008-LAB-accidental,0,NO
YS2008-LAB-attempted,1,YES
YS2008-LAB-intentional,1,YES
YS2008-JELLYFISH-neutral,1,YES
YS2008-JELLYFISH-accidental,1,YES
YS2008-JELLYFISH-attempted,1,YES
YS2008-JELLYFISH-intentional,1,YES
YS2008-BRIDGE-neutral,1,YES
YS2008-BRIDGE-accidental,1,YES
YS2008-BRIDGE-attempted,0,NO
YS2008-BRIDGE-intentional,1,YES
YS2008-POOL-neutral,1,YES
YS2008-POOL-accidental,1,YES
YS2008-POOL-attempted,1,YES
YS2008-POOL-intentional,1,YES
YS2008-MUSHROOMS-neutral,0,NO
YS2008-MUSHROOMS-accidental,1,YES
YS2008-MUSHROOMS-attempted,1,YES
YS2008-MUSHROOMS-intentional,1,YES
YS2008-LATEX-neutral,0,NO
YS2008-LATEX-accidental,1,YES
YS2008-LATEX-attempted,1,YES
YS2008-LATEX-intentional,1,YES
YS2008-MOTORBOAT-neutral,1,YES
YS2008-MOTORBOAT-accidental,1,YES
YS2008-MOTORBOAT-attempted,1,YES
YS2008-MOTORBOAT-intentional,1,YES
YS2008-ASTHMA-neutral,1,YES
YS2008-ASTHMA-accidental,1,YES
YS2008-ASTHMA-attempted,1,YES
YS2008-ASTHMA-intentional,1,YES
YS2008-VITAMIN-neutral,0,NO
YS2008-VITAMIN-accidental,1,YES
YS2008-VITAMIN-attempted,0,NO
YS2008-VITAMIN-intentional,1,YES
YS2008-SESAME-neutral,1,YES
YS2008-SESAME-accidental,1,YES
YS2008-SESAME-attempted,1,YES
YS2008-SESAME-intentional,1,YES
YS2008-BIKE-neutral,1,YES
YS2008-BIKE-accidental,1,YES
YS2008-BIKE-attempted,1,YES
YS2008-BIKE-intentional,1,YES
YS2008-IRON-neutral,1,YES
YS2008-IRON-accidental,1,YES
YS2008-IRON-attempted,1,YES
YS2008-IRON-intentional,1,YES
YS2008-MEATLOAF-neutral,0,NO
YS2008-MEATLOAF-accidental,1,YES
YS2008-MEATLOAF-attempted,1,YES
YS2008-MEATLOAF-intentional,1,YES
YS2008-RIVER-neutral,0,NO
YS2008-RIVER-accidental,1,YES
YS2008-RIVER-attempted,1,YES
YS2008-RIVER-intentional,1,YES
YS2008-LOGAN AIRPORT-neutral,1,YES
YS2008-LOGAN AIRPORT-accidental,1,YES
YS2008-LOGAN AIRPORT-attempted,0,NO
YS2008-LOGAN AIRPORT-intentional,1,YES
YS2008-TRACKS-neutral,0,NO
YS2008-TRACKS-accidental,0,NO
YS2008-TRACKS-attempted,1,YES
YS2008-TRACKS-intentional,1,YES
YS2008-HARNESS-neutral,1,YES
YS2008-HARNESS-accidental,1,YES
