layer,depth_frac,direction,alpha,a_max,typical_norm,contrast,dcontrast,ppl_ratio,refusal_delta,degenerate_frac,answer_rate,coherent,intent_probe_cv_acc,intent_acc_unsteered,intent_acc_steered,intent_d_acc,intent_margin_shift_sd,cell_neutral,cell_accidental,cell_attempted,cell_intentional
4,0.143,intent_dom,-0.8,0.8,19.8,-0.2288,0.0379,0.866,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.2695,0.7425,0.5163,0.7118
4,0.143,intent_dom,-0.4,0.8,19.8,-0.2912,-0.0246,0.938,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3057,0.7937,0.507,0.7508
4,0.143,intent_dom,0.4,0.8,19.8,-0.2363,0.0304,1.066,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3215,0.7985,0.5683,0.7641
4,0.143,intent_dom,0.8,0.8,19.8,-0.2394,0.0273,1.103,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3156,0.7862,0.5607,0.7609
4,0.143,intent_probe,-0.8,0.8,19.8,-0.2258,0.0409,1.044,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3391,0.7557,0.5304,0.7297
4,0.143,intent_probe,-0.4,0.8,19.8,-0.2829,-0.0162,0.989,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3163,0.8066,0.5275,0.755
4,0.143,intent_probe,0.4,0.8,19.8,-0.2361,0.0306,1.008,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3212,0.8015,0.5694,0.7737
4,0.143,intent_probe,0.8,0.8,19.8,-0.1854,0.0812,1.054,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3441,0.807,0.6291,0.7992
4,0.143,outcome_dom,-0.8,0.8,19.8,-0.2295,0.0372,1.148,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.2966,0.8078,0.5838,0.7856
4,0.143,outcome_dom,-0.4,0.8,19.8,-0.2409,0.0258,1.044,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3401,0.8164,0.5827,0.7862
4,0.143,outcome_dom,0.4,0.8,19.8,-0.2499,0.0168,1.019,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.2974,0.7979,0.5507,0.7622
4,0.143,outcome_dom,0.8,0.8,19.8,-0.2363,0.0303,1.002,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3156,0.7854,0.5598,0.7623
4,0.143,random0,-0.8,0.8,19.8,-0.2267,0.0399,1.338,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.234,0.7779,0.554,0.7614
4,0.143,random0,-0.4,0.8,19.8,-0.2696,-0.003,1.159,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.2922,0.7987,0.5328,0.7675
4,0.143,random0,0.4,0.8,19.8,-0.234,0.0326,0.981,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3324,0.8065,0.5754,0.7688
4,0.143,random0,0.8,0.8,19.8,-0.2541,0.0126,1.079,0.0,0.0,1.0,True,0.5201,0.5201,0.5201,0.0,0.0,0.3777,0.7587,0.511,0.7239
11,0.393,intent_dom,-0.8,0.8,42.74,-0.24,0.0267,1.078,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.3906,0.7238,0.4951,0.7442
11,0.393,intent_dom,-0.4,0.8,42.74,-0.2591,0.0075,0.94,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.3221,0.8091,0.5517,0.7916
11,0.393,intent_dom,0.4,0.8,42.74,-0.2769,-0.0103,0.993,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.2431,0.7366,0.4645,0.6838
11,0.393,intent_dom,0.8,0.8,42.74,-0.1309,0.1358,1.009,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.225,0.5315,0.3874,0.5339
11,0.393,intent_probe,-0.8,0.8,42.74,-0.1223,0.1444,1.59,0.0,0.0,1.0,False,0.5739,0.5738,0.5738,0.0,0.0,0.2143,0.5393,0.4127,0.6003
11,0.393,intent_probe,-0.4,0.8,42.74,-0.2768,-0.0102,1.074,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.1669,0.7554,0.4805,0.7188
11,0.393,intent_probe,0.4,0.8,42.74,-0.208,0.0586,1.012,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.4434,0.7906,0.5843,0.7251
11,0.393,intent_probe,0.8,0.8,42.74,-0.2712,-0.0046,0.955,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.3146,0.7153,0.4667,0.7036
11,0.393,outcome_dom,-0.8,0.8,42.74,-0.1703,0.0963,1.106,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.3018,0.7636,0.5937,0.7682
11,0.393,outcome_dom,-0.4,0.8,42.74,-0.2306,0.0361,0.909,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.2723,0.8117,0.5796,0.7997
11,0.393,outcome_dom,0.4,0.8,42.74,-0.2531,0.0136,1.133,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.2679,0.6964,0.4532,0.6653
11,0.393,outcome_dom,0.8,0.8,42.74,-0.224,0.0426,1.173,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.1235,0.4605,0.2442,0.474
11,0.393,random0,-0.8,0.8,42.74,-0.152,0.1147,1.055,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.1286,0.5058,0.3421,0.5002
11,0.393,random0,-0.4,0.8,42.74,-0.2702,-0.0036,1.028,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.2472,0.7475,0.4756,0.7027
11,0.393,random0,0.4,0.8,42.74,-0.275,-0.0084,1.004,0.0,0.0,1.0,True,0.5739,0.5738,0.5738,0.0,0.0,0.3618,0.8129,0.5483,0.7683
11,0.393,random0,0.8,0.8,42.74,-0.2206,0.0461,2.042,0.0,0.0,1.0,False,0.5739,0.5738,0.5738,0.0,0.0,0.431,0.6352,0.42,0.5995
19,0.679,intent_dom,-0.2,0.2,79.77,-0.3052,-0.0385,0.931,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.1257,0.5989,0.2928,0.5917
19,0.679,intent_dom,-0.1,0.2,79.77,-0.3067,-0.04,0.939,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.2111,0.7077,0.4009,0.6727
19,0.679,intent_dom,0.1,0.2,79.77,-0.1517,0.1149,1.087,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.4614,0.8494,0.698,0.8229
