model,layer,fit_on,test_on,acc,within
allenai/OLMo-2-1124-7B-Instruct,32,physical,physical,0.9791666666666666,True
allenai/OLMo-2-1124-7B-Instruct,32,physical,emotional,0.6041666666666666,False
allenai/OLMo-2-1124-7B-Instruct,32,physical,false_belief,0.5625,False
allenai/OLMo-2-1124-7B-Instruct,32,emotional,physical,0.875,False
allenai/OLMo-2-1124-7B-Instruct,32,emotional,emotional,1.0,True
allenai/OLMo-2-1124-7B-Instruct,32,emotional,false_belief,0.9583333333333334,False
allenai/OLMo-2-1124-7B-Instruct,32,false_belief,physical,0.8958333333333334,False
allenai/OLMo-2-1124-7B-Instruct,32,false_belief,emotional,0.9583333333333334,False
allenai/OLMo-2-1124-7B-Instruct,32,false_belief,false_belief,0.9583333333333334,True
Qwen/Qwen2.5-7B-Instruct,14,physical,physical,0.9791666666666666,True
Qwen/Qwen2.5-7B-Instruct,14,physical,emotional,0.6041666666666666,False
Qwen/Qwen2.5-7B-Instruct,14,physical,false_belief,0.6041666666666666,False
Qwen/Qwen2.5-7B-Instruct,14,emotional,physical,0.7916666666666666,False
Qwen/Qwen2.5-7B-Instruct,14,emotional,emotional,0.9583333333333334,True
Qwen/Qwen2.5-7B-Instruct,14,emotional,false_belief,0.875,False
Qwen/Qwen2.5-7B-Instruct,14,false_belief,physical,0.8333333333333334,False
Qwen/Qwen2.5-7B-Instruct,14,false_belief,emotional,0.9166666666666666,False
Qwen/Qwen2.5-7B-Instruct,14,false_belief,false_belief,0.9166666666666666,True
