story_id,prose,rater_a_either,human_either
YS2008-COFFEE-accidental,"Grace's action was completely impermissible because she knowingly used a substance (labeled as ""sugar"" but actually toxic) without verifying its safety, leading to her friend's death. The disregard for potential danger and the lack of concern for her friend's well-being make her action highly irresponsible and unethical.",1,1
YS2008-BRIDGE-attempted,"Ray's action was completely permissible because his girlfriend safely crossed the bridge, indicating it was sturdy enough to support her weight, and there was no immediate danger or risk that Ray could have foreseen to prevent her from walking across.",1,1
YS2008-ASTHMA-neutral,"Erica's action is rated a 2 because while it's understandable that she didn't immediately recognize the significance of the asthma inhaler, leaving a potentially distressed individual without checking on them or ensuring their safety is a concern. It's important to consider the welfare of others, especially when they appear to be in distress, even if the full context isn't immediately",1,1
YS2008-VITAMIN-neutral,"Gil's action was completely permissible because the new kind of fruit did not contain Vitamin K, making it safe for his wife to take the pills immediately without any risk of interaction or complications related to Vitamin K intake. The doctor's instructions were based on the presence of Vitamin K, which was not a concern in this case.",0,0
YS2008-RIVER-intentional,"Jacob's rating of 2 indicates that his action was somewhat permissible. While he had concerns about the danger, he did not actively intervene to prevent his friend from swimming downstream, which could have been seen as a responsibility to protect given the known risks. His decision to silently watch rather than warn or help his friend more actively makes the action less permissible due to a",1,1
YS2008-IGLOO-neutral,"Sarah's action was completely permissible because she has built similar igloos before, ensuring they are sturdy and safe, and she explicitly told her friend it was fine to play inside, showing trust in the igloo's structural integrity.",1,1
YS2008-HAM-neutral,"1 (completely permissible): Noel's action of making a ham sandwich for her friend was completely permissible because the ham was fresh and purchased just a day ago, indicating it was safe to eat, and her friend enjoyed the sandwich without any adverse effects.",0,0
YS2008-HAM-attempted,"1 (completely permissible): Noel's action was permissible because the ham was purchased just a day ago, indicating it was fresh and likely safe to eat, contradicting Noel's belief that it was old. Her friend enjoyed the sandwich without any adverse effects, suggesting it was safe.",1,1
YS2008-POPCORN-neutral,"1 (completely permissible): Matt's action of watching quietly while his cousin went to investigate the beeping smoke detector was permissible because the situation was not dangerous, and his cousin was capable of handling the situation on their own.",0,0
YS2008-VET-neutral,"1 (completely permissible): Zach's action was completely permissible because the cookies were clearly meant for sharing, as they were left out in the workers' lounge, and his friend willingly ate one and asked for a second, indicating consent.",1,0
YS2008-SAFETY TOWN-intentional,"1 (completely permissible): Sam's action was completely permissible because he acted on the information provided by the boy's parents about his asthma and the potential danger of smoke, prioritizing the child's safety over the activity planned at Safety Town.",0,1
YS2008-HUNT-accidental,"1 (completely permissible): Mike's action was permissible because he believed the moving object was the stag they were hunting, and he did not actively encourage the shooting but rather did not intervene, which is a common reaction in high-stress, split-second situations where one might mistakenly assume a threat is present.",1,1
YS2008-BAR-intentional,"Kevin's rating is a 2 because while it's understandable that he didn't want to enable his sister's dangerous behavior by letting her drive, his decision not to intervene or at least try to stop her from driving could be seen as neglectful, especially given his knowledge of her condition and the potential risk to herself and others. His action, while not directly",1,1
