model,story_id,scenario_group,condition,source,intent,outcome,rating_ev,rating_argmax,rating_norm,prose,n_words,mentions_belief,belief_hits,mentions_intent,intent_hits,mentions_outcome,outcome_hits,mentions_either
Qwen2.5-7B-Instruct,YS2008-COFFEE-neutral,COFFEE,neutral,YS2008,0,0,2.0284,2,0.5142,"A rating of 2 suggests that while Grace's action was not completely impermissible since her friend was fine, it was still somewhat questionable due to the potential risks of administering any substance without proper identification and consent.",37,0,,1,\bconsent(?:ed|ing)?\b,1,\bfine\b,1
Qwen2.5-7B-Instruct,YS2008-COFFEE-accidental,COFFEE,accidental,YS2008,0,1,3.0,3,1.0,"My rating of 3 indicates that Grace's action was completely impermissible due to the severe consequences and the intentional deception involved, which resulted in her friend's death.",27,0,,1,\bintent(?:ion(?:al(?:ly)?|s)?|ional)?\b,1,\bconsequence[s]?\b;\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-COFFEE-attempted,COFFEE,attempted,YS2008,1,0,2.9887,3,0.9943,"My rating of 3 indicates that Grace's action was completely impermissible because she acted without knowing the true nature of the substance, potentially putting her friend at risk, even though her friend did not experience any adverse effects.",38,1,\bknow(?:s|ing)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-COFFEE-intentional,COFFEE,intentional,YS2008,1,1,3.0,3,1.0,"My rating of 3 indicates that Grace's action was completely impermissible, as intentionally poisoning someone, even if done under the mistaken belief that it was necessary, is a severe ethical and legal violation.",33,1,\bbelie(?:f|ve[sd]?|ving)\b;\bmistaken\b,1,\bintent(?:ion(?:al(?:ly)?|s)?|ional)?\b,1,\bpoison(?:ed|ing)?\b,1
Qwen2.5-7B-Instruct,YS2008-LAB-neutral,LAB,neutral,YS2008,0,0,1.9931,2,0.4966,"2 - Dan's action was moderately permissible because while he reasonably believed the switch had been fixed based on his conversation with the repairman, he did not personally verify the safety of the containment system before allowing the visitor to enter.",41,1,\bbelie(?:f|ve[sd]?|ving)\b;\bverif(?:y|ied|ying)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-LAB-accidental,LAB,accidental,YS2008,0,1,2.9951,3,0.9975,"3 (Completely impermissible) because Dan acted negligently by proceeding with the tour without verifying the safety of the testing room, putting the visitor at risk of contracting a deadly disease.",30,1,\bverif(?:y|ied|ying)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-LAB-attempted,LAB,attempted,YS2008,1,0,2.0045,2,0.5022,"2 - Dan's action was moderately impermissible because he acted on an incorrect belief, putting others at risk unnecessarily, but fortunately, no harm occurred.",24,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,1,\bharm(?:ed|ful|s)?\b;\bno harm\b,1
Qwen2.5-7B-Instruct,YS2008-LAB-intentional,LAB,intentional,YS2008,1,1,2.9937,3,0.9969,"3 (Completely impermissible) because Dan should have ensured the safety measures were in place before allowing the visitor to enter the testing room, given his belief that the switch was still broken.",32,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-JELLYFISH-neutral,JELLYFISH,neutral,YS2008,0,0,1.7254,2,0.3627,"Janet's action is rated as 2, which means it is somewhat permissible but could be seen as irresponsible given her role as a companion and the fact that she had accurate information about the jellyfish.",35,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-JELLYFISH-accidental,JELLYFISH,accidental,YS2008,0,1,2.9997,3,0.9999,"Janet's action is rated as 3 (completely impermissible) because she disregarded the known dangers based on incorrect information, leading to her neighbor's death, which is a grave moral and ethical failure.",31,1,\bdisregard(?:ed|ing|s)?\b,0,,1,\bdeath\b,1
