model,domain,layer,n_layers,n_pairs,n_items,probe_acc,tfidf_acc,gap
allenai/OLMo-2-1124-7B-Instruct,physical,1,33,24,48,0.6041666666666666,0.6041666666666666,0.0
allenai/OLMo-2-1124-7B-Instruct,physical,8,33,24,48,0.9583333333333334,0.6041666666666666,0.35416666666666674
allenai/OLMo-2-1124-7B-Instruct,physical,16,33,24,48,0.9375,0.6041666666666666,0.33333333333333337
allenai/OLMo-2-1124-7B-Instruct,physical,22,33,24,48,0.9583333333333334,0.6041666666666666,0.35416666666666674
allenai/OLMo-2-1124-7B-Instruct,physical,24,33,24,48,1.0,0.6041666666666666,0.39583333333333337
allenai/OLMo-2-1124-7B-Instruct,physical,32,33,24,48,0.9791666666666666,0.6041666666666666,0.375
allenai/OLMo-2-1124-7B-Instruct,emotional,1,33,24,48,0.6041666666666666,0.75,-0.14583333333333337
allenai/OLMo-2-1124-7B-Instruct,emotional,8,33,24,48,0.875,0.75,0.125
allenai/OLMo-2-1124-7B-Instruct,emotional,16,33,24,48,0.9375,0.75,0.1875
allenai/OLMo-2-1124-7B-Instruct,emotional,22,33,24,48,0.9791666666666666,0.75,0.22916666666666663
allenai/OLMo-2-1124-7B-Instruct,emotional,24,33,24,48,0.9791666666666666,0.75,0.22916666666666663
allenai/OLMo-2-1124-7B-Instruct,emotional,32,33,24,48,1.0,0.75,0.25
allenai/OLMo-2-1124-7B-Instruct,false_belief,1,33,24,48,0.6041666666666666,0.5625,0.04166666666666663
allenai/OLMo-2-1124-7B-Instruct,false_belief,8,33,24,48,0.8541666666666666,0.5625,0.29166666666666663
allenai/OLMo-2-1124-7B-Instruct,false_belief,16,33,24,48,0.9375,0.5625,0.375
allenai/OLMo-2-1124-7B-Instruct,false_belief,22,33,24,48,0.9166666666666666,0.5625,0.35416666666666663
allenai/OLMo-2-1124-7B-Instruct,false_belief,24,33,24,48,0.9166666666666666,0.5625,0.35416666666666663
allenai/OLMo-2-1124-7B-Instruct,false_belief,32,33,24,48,0.9583333333333334,0.5625,0.39583333333333337
Qwen/Qwen2.5-7B-Instruct,physical,1,29,24,48,0.6458333333333334,0.6041666666666666,0.04166666666666674
Qwen/Qwen2.5-7B-Instruct,physical,7,29,24,48,0.7083333333333334,0.6041666666666666,0.10416666666666674
Qwen/Qwen2.5-7B-Instruct,physical,14,29,24,48,0.9791666666666666,0.6041666666666666,0.375
Qwen/Qwen2.5-7B-Instruct,physical,20,29,24,48,0.9791666666666666,0.6041666666666666,0.375
Qwen/Qwen2.5-7B-Instruct,physical,21,29,24,48,0.9791666666666666,0.6041666666666666,0.375
Qwen/Qwen2.5-7B-Instruct,physical,28,29,24,48,0.9583333333333334,0.6041666666666666,0.35416666666666674
Qwen/Qwen2.5-7B-Instruct,emotional,1,29,24,48,0.6666666666666666,0.75,-0.08333333333333337
Qwen/Qwen2.5-7B-Instruct,emotional,7,29,24,48,0.7708333333333334,0.75,0.02083333333333337
Qwen/Qwen2.5-7B-Instruct,emotional,14,29,24,48,0.9583333333333334,0.75,0.20833333333333337
Qwen/Qwen2.5-7B-Instruct,emotional,20,29,24,48,0.9375,0.75,0.1875
Qwen/Qwen2.5-7B-Instruct,emotional,21,29,24,48,0.8958333333333334,0.75,0.14583333333333337
Qwen/Qwen2.5-7B-Instruct,emotional,28,29,24,48,0.8958333333333334,0.75,0.14583333333333337
Qwen/Qwen2.5-7B-Instruct,false_belief,1,29,24,48,0.7083333333333334,0.5625,0.14583333333333337
Qwen/Qwen2.5-7B-Instruct,false_belief,7,29,24,48,0.8125,0.5625,0.25
Qwen/Qwen2.5-7B-Instruct,false_belief,14,29,24,48,0.9166666666666666,0.5625,0.35416666666666663
Qwen/Qwen2.5-7B-Instruct,false_belief,20,29,24,48,0.9166666666666666,0.5625,0.35416666666666663
Qwen/Qwen2.5-7B-Instruct,false_belief,21,29,24,48,0.8958333333333334,0.5625,0.33333333333333337
Qwen/Qwen2.5-7B-Instruct,false_belief,28,29,24,48,0.875,0.5625,0.3125
