model,story_id,scenario_group,condition,source,intent,outcome,rating_ev,rating_argmax,rating_norm,prose,n_words,mentions_belief,belief_hits,mentions_intent,intent_hits,mentions_outcome,outcome_hits,mentions_either
OLMo-2-1124-7B-Instruct,YS2008-COFFEE-neutral,COFFEE,neutral,YS2008,0,0,1.817,2,0.4085,"Grace's action was rated a 2 because she acted on the assumption that the white powder was sugar based on the label, which turned out to be correct, and her friend consumed it without any adverse effects. However, it's important to note that relying on labels without confirming the substance with a trusted source or authority introduces a level of uncertainty and potential risk,",64,1,\bassum(?:e[sd]?|ing|ption)\b;\btrust(?:ed|ing|s)?\b,0,,0,,1
OLMo-2-1124-7B-Instruct,YS2008-COFFEE-accidental,COFFEE,accidental,YS2008,0,1,2.9731,3,0.9865,"Grace's action was completely impermissible because she knowingly used a substance (labeled as ""sugar"" but actually toxic) without verifying its safety, leading to her friend's death. The disregard for potential danger and the lack of concern for her friend's well-being make her action highly irresponsible and unethical.",47,1,\bconcern(?:s|ed)?\s+(?:about|for|over|regarding)\b;\bdisregard(?:ed|ing|s)?\b;\bverif(?:y|ied|ying)\b,1,\bknowingly\b,1,\bdeath\b,1
OLMo-2-1124-7B-Instruct,YS2008-COFFEE-attempted,COFFEE,attempted,YS2008,1,0,1.392,1,0.196,"Grace's action was completely permissible because the white powder was actually just sugar, as confirmed by its safe consumption by her friend, and the label ""toxic"" was misleading.",28,0,,0,,0,,0
OLMo-2-1124-7B-Instruct,YS2008-COFFEE-intentional,COFFEE,intentional,YS2008,1,1,2.9789,3,0.9895,"Grace's action was completely impermissible because she knowingly added a substance she believed to be toxic to her friend's coffee, disregarding the clear warning label and the potential for serious harm or death, which ultimately resulted in her friend's demise.",40,1,\bbelie(?:f|ve[sd]?|ving)\b;\bdisregard(?:ed|ing|s)?\b,1,\bknowingly\b,1,\bdeath\b;\bharm(?:ed|ful|s)?\b,1
OLMo-2-1124-7B-Instruct,YS2008-LAB-neutral,LAB,neutral,YS2008,0,0,1.0018,1,0.0009,"1 (completely permissible): Dan's action was completely permissible because he had been informed by the repairman that the switch had been fixed, ensuring the test tubes containing disease antigens were safely contained. The visitor did not contract any disease, confirming the safety of Dan's decision to allow entry.",48,1,\binform(?:ed|ing)\b,0,,0,,1
OLMo-2-1124-7B-Instruct,YS2008-LAB-accidental,LAB,accidental,YS2008,0,1,2.7859,3,0.893,"Dan's action was completely impermissible because he knowingly led a visitor into a potentially lethal situation by falsely believing the switch had been fixed when it was still broken, exposing them to deadly infectious diseases. His negligence directly resulted in the visitor contracting a deadly disease.",46,1,\bbelie(?:f|ve[sd]?|ving)\b,1,\bknowingly\b;\bnegligen(?:t|ce)\b,0,,1
OLMo-2-1124-7B-Instruct,YS2008-LAB-attempted,LAB,attempted,YS2008,1,0,1.4234,1,0.2117,"Dan's action was completely permissible because the repairman confirmed that the switch had been successfully fixed, ensuring the test tubes were safely contained and making the room safe for entry. Dan's belief to the contrary was incorrect, as the visitor did not contract any diseases and was unharmed.",48,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,1,\bunharmed\b,1
OLMo-2-1124-7B-Instruct,YS2008-LAB-intentional,LAB,intentional,YS2008,1,1,2.6799,3,0.8399,"Dan's action was completely impermissible because he had a responsibility to ensure the safety of the visitor by verifying the repairman's work and taking necessary precautions before allowing anyone into the potentially hazardous area. Despite being misled by the repairman, Dan should have taken additional steps to confirm the switch's functionality or warned the visitor about the risk before proceeding.",60,1,\bverif(?:y|ied|ying)\b,0,,0,,1
OLMo-2-1124-7B-Instruct,YS2008-JELLYFISH-neutral,JELLYFISH,neutral,YS2008,0,0,1.0183,1,0.0091,"1 (completely permissible): Janet's action was completely permissible because she had accurate information from reliable sources indicating that the jellyfish in the area were harmless, and she passed this information on to her neighbor, who then swam safely without any negative consequences.",42,0,,0,,1,\bconsequence[s]?\b,0
OLMo-2-1124-7B-Instruct,YS2008-JELLYFISH-accidental,JELLYFISH,accidental,YS2008,0,1,2.7629,3,0.8815,"My rating of 3 indicates that Janet's action was completely impermissible because she provided misinformation despite knowing the risks involved, leading to a fatal outcome for her neighbor.",28,1,\bknow(?:s|ing)?\b,0,,1,\boutcome[s]?\b,1
OLMo-2-1124-7B-Instruct,YS2008-JELLYFISH-attempted,JELLYFISH,attempted,YS2008,1,0,1.6833,1,0.3416,"1 (completely permissible): Janet's action was permissible because she provided her neighbor with the information she believed to be true based on her reading, even though it turned out to be incorrect. Her neighbor made an informed decision to swim and was unharmed, indicating that the information Janet shared did not lead to any harm or unethical behavior on her part.",61,1,\bbelie(?:f|ve[sd]?|ving)\b;\binform(?:ed|ing)\b,0,,1,\bharm(?:ed|ful|s)?\b;\bunharmed\b,1
OLMo-2-1124-7B-Instruct,YS2008-JELLYFISH-intentional,JELLYFISH,intentional,YS2008,1,1,2.5011,3,0.7505,"My rating of 3 indicates that Janet's action was completely impermissible because she had accurate information about the dangers of swimming in the ocean with jellyfish, yet she irresponsibly advised her neighbor to swim anyway, leading to a fatal outcome.",40,0,,0,,1,\boutcome[s]?\b,0
