mode,model_a,model_b,layer_a,layer_b,rsa_spearman,cka_linear,cka_rbf
peak,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,15,15,0.9141,0.9409,0.99
peak,OLMo-2-1124-7B,Qwen2.5-0.5B,15,9,0.3994,0.2538,0.8601
peak,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,15,14,0.3934,0.2876,0.8741
peak,OLMo-2-1124-7B,Qwen2.5-1.5B,15,20,0.3773,0.2286,0.8361
peak,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,15,18,0.3783,0.2033,0.7688
peak,OLMo-2-1124-7B,Qwen2.5-7B,15,18,0.408,0.2179,0.7975
peak,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,15,18,0.4346,0.2071,0.7713
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,15,9,0.4625,0.2645,0.8642
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,15,14,0.4406,0.2983,0.8758
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,15,20,0.4531,0.2372,0.8368
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,15,18,0.4436,0.2109,0.7674
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,15,18,0.474,0.225,0.8003
peak,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,15,18,0.5029,0.2138,0.7726
peak,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,9,14,0.8797,0.9913,0.9748
peak,Qwen2.5-0.5B,Qwen2.5-1.5B,9,20,0.8098,0.9666,0.9321
peak,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,9,18,0.8396,0.9638,0.9042
peak,Qwen2.5-0.5B,Qwen2.5-7B,9,18,0.7723,0.9604,0.9171
peak,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,9,18,0.7921,0.9605,0.9094
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,14,20,0.7788,0.9623,0.9265
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,14,18,0.8218,0.9581,0.8933
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,14,18,0.7411,0.9534,0.9057
peak,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,14,18,0.7795,0.9541,0.897
peak,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,20,18,0.9493,0.9962,0.9787
peak,Qwen2.5-1.5B,Qwen2.5-7B,20,18,0.801,0.9511,0.887
peak,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,20,18,0.8298,0.9598,0.8975
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,18,18,0.7778,0.9498,0.8708
peak,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,18,18,0.82,0.9604,0.894
peak,Qwen2.5-7B,Qwen2.5-7B-Instruct,18,18,0.9791,0.9945,0.9837
reldepth0.75,OLMo-2-1124-7B,OLMo-2-1124-7B-Instruct,24,24,0.8989,0.9666,0.9924
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B,24,18,0.4355,0.5039,0.917
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-0.5B-Instruct,24,18,0.4887,0.5122,0.9365
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-1.5B,24,21,0.3561,0.2468,0.8853
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-1.5B-Instruct,24,21,0.3557,0.2328,0.8748
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-7B,24,21,0.4603,0.2623,0.8858
reldepth0.75,OLMo-2-1124-7B,Qwen2.5-7B-Instruct,24,21,0.4317,0.2325,0.8638
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B,24,18,0.4311,0.4968,0.9154
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-0.5B-Instruct,24,18,0.5024,0.5131,0.9365
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B,24,21,0.4393,0.2487,0.8881
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-1.5B-Instruct,24,21,0.4512,0.2341,0.8771
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-7B,24,21,0.5078,0.2607,0.8893
reldepth0.75,OLMo-2-1124-7B-Instruct,Qwen2.5-7B-Instruct,24,21,0.4976,0.2319,0.8676
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-0.5B-Instruct,18,18,0.8886,0.9274,0.9706
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-1.5B,18,21,0.5591,0.7456,0.8946
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-1.5B-Instruct,18,21,0.5735,0.7359,0.8889
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-7B,18,21,0.5708,0.7618,0.8937
reldepth0.75,Qwen2.5-0.5B,Qwen2.5-7B-Instruct,18,21,0.5606,0.7494,0.8774
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B,18,21,0.6361,0.8538,0.919
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-1.5B-Instruct,18,21,0.6658,0.8466,0.9131
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-7B,18,21,0.6182,0.8562,0.9159
reldepth0.75,Qwen2.5-0.5B-Instruct,Qwen2.5-7B-Instruct,18,21,0.6064,0.849,0.9013
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-1.5B-Instruct,21,21,0.9627,0.9964,0.9931
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-7B,21,21,0.8083,0.939,0.9257
reldepth0.75,Qwen2.5-1.5B,Qwen2.5-7B-Instruct,21,21,0.7986,0.9458,0.9273
reldepth0.75,Qwen2.5-1.5B-Instruct,Qwen2.5-7B,21,21,0.8167,0.9403,0.9256
reldepth0.75,Qwen2.5-1.5B-Instruct,Qwen2.5-7B-Instruct,21,21,0.814,0.9489,0.9307
reldepth0.75,Qwen2.5-7B,Qwen2.5-7B-Instruct,21,21,0.9669,0.9902,0.9856
