model,pooling,target,acc_layer0,sd,chance
OLMo-2-1124-7B-Instruct,last,intent,0.5001,0.0107,0.5
OLMo-2-1124-7B-Instruct,last,outcome,0.6005,0.0345,0.5168
OLMo-2-1124-7B-Instruct,mean,intent,0.728,0.0422,0.5
OLMo-2-1124-7B-Instruct,mean,outcome,0.8856,0.0473,0.5168
OLMo-2-1124-7B,last,intent,0.5034,0.0069,0.5
OLMo-2-1124-7B,last,outcome,0.6039,0.032,0.5168
OLMo-2-1124-7B,mean,intent,0.7247,0.0367,0.5
OLMo-2-1124-7B,mean,outcome,0.8856,0.0473,0.5168
Qwen2.5-0.5B-Instruct,last,intent,0.5001,0.0107,0.5
Qwen2.5-0.5B-Instruct,last,outcome,0.6039,0.032,0.5168
Qwen2.5-0.5B-Instruct,mean,intent,0.7414,0.0417,0.5
Qwen2.5-0.5B-Instruct,mean,outcome,0.9128,0.0266,0.5168
Qwen2.5-0.5B,last,intent,0.5001,0.0107,0.5
Qwen2.5-0.5B,last,outcome,0.6039,0.032,0.5168
Qwen2.5-0.5B,mean,intent,0.7346,0.0458,0.5
Qwen2.5-0.5B,mean,outcome,0.9161,0.0279,0.5168
Qwen2.5-1.5B-Instruct,last,intent,0.5001,0.0107,0.5
Qwen2.5-1.5B-Instruct,last,outcome,0.6006,0.0347,0.5168
Qwen2.5-1.5B-Instruct,mean,intent,0.7616,0.0494,0.5
Qwen2.5-1.5B-Instruct,mean,outcome,0.9026,0.0662,0.5168
Qwen2.5-1.5B,last,intent,0.5001,0.0107,0.5
Qwen2.5-1.5B,last,outcome,0.6039,0.032,0.5168
Qwen2.5-1.5B,mean,intent,0.7616,0.0494,0.5
Qwen2.5-1.5B,mean,outcome,0.9026,0.0662,0.5168
Qwen2.5-7B-Instruct,last,intent,0.5034,0.0069,0.5
Qwen2.5-7B-Instruct,last,outcome,0.6039,0.032,0.5168
Qwen2.5-7B-Instruct,mean,intent,0.7682,0.0535,0.5
Qwen2.5-7B-Instruct,mean,outcome,0.9328,0.0336,0.5168
Qwen2.5-7B,last,intent,0.5034,0.0069,0.5
Qwen2.5-7B,last,outcome,0.6039,0.032,0.5168
Qwen2.5-7B,mean,intent,0.7682,0.0535,0.5
Qwen2.5-7B,mean,outcome,0.9328,0.0336,0.5168
