model,target,acc_layer0,acc_peak,peak_layer,n_layers,peak_layer_frac,chance,layer0_frac_of_peak,layer0_above_chance
OLMo-2-1124-7B-Instruct,intent,0.5001,0.7718,18,33,0.562,0.5,0.648,0.0001
OLMo-2-1124-7B-Instruct,outcome,0.6005,1.0,14,33,0.438,0.5168,0.6,0.0837
OLMo-2-1124-7B,intent,0.5034,0.802,17,33,0.531,0.5,0.628,0.0034
OLMo-2-1124-7B,outcome,0.6039,1.0,11,33,0.344,0.5168,0.604,0.0871
Qwen2.5-0.5B-Instruct,intent,0.5001,0.6816,14,25,0.583,0.5,0.734,0.0001
Qwen2.5-0.5B-Instruct,outcome,0.6039,0.9933,16,25,0.667,0.5168,0.608,0.0871
Qwen2.5-0.5B,intent,0.5001,0.6713,12,25,0.5,0.5,0.745,0.0001
Qwen2.5-0.5B,outcome,0.6039,0.9933,18,25,0.75,0.5168,0.608,0.0871
Qwen2.5-1.5B-Instruct,intent,0.5001,0.7079,17,29,0.607,0.5,0.706,0.0001
Qwen2.5-1.5B-Instruct,outcome,0.6006,1.0,16,29,0.571,0.5168,0.601,0.0838
Qwen2.5-1.5B,intent,0.5001,0.7045,17,29,0.607,0.5,0.71,0.0001
Qwen2.5-1.5B,outcome,0.6039,1.0,16,29,0.571,0.5168,0.604,0.0871
Qwen2.5-7B-Instruct,intent,0.5034,0.7786,17,29,0.607,0.5,0.647,0.0034
Qwen2.5-7B-Instruct,outcome,0.6039,1.0,19,29,0.679,0.5168,0.604,0.0871
Qwen2.5-7B,intent,0.5034,0.7553,19,29,0.679,0.5,0.667,0.0034
Qwen2.5-7B,outcome,0.6039,1.0,19,29,0.679,0.5168,0.604,0.0871
