model,Qwen_Qwen2_5-1_5B-Instruct
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.6468
accidental,0.596
attempted,0.602
intentional,0.6019
model_intent_reliance_4cell,0.4325
model_intent_vs_outcome_contrast,0.0061

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=13)
contrast_template_mean,-0.171
contrast_template_sd,0.0674
contrast_template_min,-0.2517
contrast_template_max,0.0061
contrast_template_range,0.2577
  contrast[acceptable7],-0.0975
  contrast[blame_w1],-0.2143
  contrast[blame_w2],-0.2517
  contrast[human_verbatim],0.0061
  contrast[para_blame10],-0.1191
  contrast[para_blame4],-0.1367
  contrast[para_wrong7],-0.2356
  contrast[persona_adult7],-0.1783
  contrast[punish7],-0.1943
  contrast[punish_w1],-0.1943
  contrast[punish_w2],-0.1932
  contrast[wrong_w1],-0.2356
  contrast[wrong_w2],-0.1785
contrast_sign_stable_across_prompts,NO

vs adult
rmse,0.4266
profile_corr,-0.6436
intent_reliance_4cell_diff,-0.424
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.6599

vs child_4_5
rmse,0.1076
profile_corr,-1.0
intent_vs_outcome_contrast_human,-0.14
contrast_diff_model_minus_human,0.1461

vs child_6_7
rmse,0.1434
profile_corr,1.0
intent_vs_outcome_contrast_human,0.15
contrast_diff_model_minus_human,-0.1439

vs child_8plus
rmse,0.2891
profile_corr,1.0
intent_vs_outcome_contrast_human,0.46
contrast_diff_model_minus_human,-0.4539
