model,Qwen_Qwen2.5-7B
template,human_verbatim

MODEL condition profile (0-1 blame)
neutral,0.4959
accidental,0.5324
attempted,0.5009
intentional,0.5352
model_intent_reliance_4cell,0.0977
model_intent_vs_outcome_contrast,-0.0316

PROMPT-INVARIANCE of intent_vs_outcome_contrast (n_templates=7)
contrast_template_mean,0.0178
contrast_template_sd,0.0647
contrast_template_min,-0.1013
contrast_template_max,0.1159
contrast_template_range,0.2172
  contrast[acceptable7],-0.1013
  contrast[human_verbatim],-0.0316
  contrast[para_blame10],0.0606
  contrast[para_blame4],0.0479
  contrast[para_wrong7],0.0031
  contrast[persona_adult7],0.0297
  contrast[punish7],0.1159
contrast_sign_stable_across_prompts,NO

vs adult
rmse,0.4056
profile_corr,0.272
intent_reliance_4cell_diff,-0.7589
intent_vs_outcome_contrast_human,0.666
contrast_diff_model_minus_human,-0.6976

vs child_4_5
rmse,0.1478
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.24
contrast_diff_model_minus_human,-0.2716

vs child_6_7
rmse,0.274
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.5
contrast_diff_model_minus_human,-0.5316

vs child_8plus
rmse,0.3598
profile_corr,-1.0
intent_vs_outcome_contrast_human,0.63
contrast_diff_model_minus_human,-0.6616
