group,condition,raw_value,scale_min,scale_max,direction,norm_blame,source,notes
adult,neutral,3.9,1,4,permissible,0.033,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
adult,accidental,3.2,1,4,permissible,0.267,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
adult,attempted,1.2,1,4,permissible,0.933,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
adult,intentional,1.1,1,4,permissible,0.967,Young Cushman Hauser & Saxe 2007 PNAS Exp1 Fig2,"same adult anchor; unchanged"
child_4_5,neutral,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"NOT MEASURED"
child_4_5,accidental,,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"cell mean pending fig3 PUNISH digitization; contrast vs attempted = +0.09 (PHASE2)"
child_4_5,attempted,,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"cell mean pending; see cushman_child_bands_PUNISH.csv"
child_4_5,intentional,,0,1,blame,,Cushman 2013 Fig.3,"NOT MEASURED"
child_6_7,neutral,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"NOT MEASURED"
child_6_7,accidental,,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"contrast = +0.12"
child_6_7,attempted,,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"contrast = +0.12"
child_6_7,intentional,,0,1,blame,,Cushman 2013 Fig.3,"NOT MEASURED"
child_8plus,neutral,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"NOT MEASURED"
child_8plus,accidental,,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"contrast = +0.19"
child_8plus,attempted,,,0,1,blame,,Cushman 2013 Fig.3 Punish presented-first,"contrast = +0.19"
child_8plus,intentional,,0,1,blame,,Cushman 2013 Fig.3,"NOT MEASURED"
