layer,target,cv_acc,chance
0,intent,0.5504597701149425,0.5
0,outcome,0.7081609195402299,0.5167785234899329
1,intent,0.5700000000000001,0.5
1,outcome,0.7382758620689656,0.5167785234899329
2,intent,0.5136781609195402,0.5
2,outcome,0.7086206896551724,0.5167785234899329
3,intent,0.5541379310344827,0.5
3,outcome,0.6712643678160919,0.5167785234899329
4,intent,0.5601149425287357,0.5
4,outcome,0.7316091954022989,0.5167785234899329
5,intent,0.5502298850574713,0.5
5,outcome,0.7549425287356322,0.5167785234899329
6,intent,0.5777011494252873,0.5
6,outcome,0.7452873563218392,0.5167785234899329
7,intent,0.5710344827586207,0.5
7,outcome,0.7754022988505747,0.5167785234899329
8,intent,0.6275862068965518,0.5
8,outcome,0.8094252873563219,0.5167785234899329
9,intent,0.6541379310344827,0.5
9,outcome,0.8564367816091953,0.5167785234899329
10,intent,0.5771264367816092,0.5
10,outcome,0.9097701149425287,0.5167785234899329
11,intent,0.6170114942528736,0.5
11,outcome,0.9026436781609195,0.5167785234899329
12,intent,0.6175862068965519,0.5
12,outcome,0.9063218390804597,0.5167785234899329
13,intent,0.6444827586206897,0.5
13,outcome,0.8596551724137932,0.5167785234899329
14,intent,0.6639080459770115,0.5
14,outcome,0.8797701149425288,0.5167785234899329
15,intent,0.6242528735632185,0.5
15,outcome,0.8597701149425288,0.5167785234899329
16,intent,0.571264367816092,0.5
16,outcome,0.8497701149425287,0.5167785234899329
17,intent,0.5608045977011494,0.5
17,outcome,0.8598850574712642,0.5167785234899329
18,intent,0.5775862068965518,0.5
18,outcome,0.8231034482758621,0.5167785234899329
19,intent,0.5606896551724139,0.5
19,outcome,0.8158620689655172,0.5167785234899329
20,intent,0.5437931034482759,0.5
20,outcome,0.8062068965517242,0.5167785234899329
21,intent,0.5814942528735633,0.5
21,outcome,0.7525287356321839,0.5167785234899329
22,intent,0.5470114942528737,0.5
22,outcome,0.7185057471264368,0.5167785234899329
23,intent,0.5605747126436782,0.5
23,outcome,0.7049425287356321,0.5167785234899329
24,intent,0.5508045977011494,0.5
24,outcome,0.721609195402299,0.5167785234899329
