layer,target,cv_acc,chance
0,intent,0.5231829573934836,0.501779359430605
0,outcome,0.49824561403508766,0.501779359430605
1,intent,0.6083333333333333,0.501779359430605
1,outcome,0.5409774436090226,0.501779359430605
2,intent,0.5763784461152882,0.501779359430605
2,outcome,0.544423558897243,0.501779359430605
3,intent,0.561967418546366,0.501779359430605
3,outcome,0.5906641604010024,0.501779359430605
4,intent,0.5548245614035088,0.501779359430605
4,outcome,0.5907894736842106,0.501779359430605
5,intent,0.700501253132832,0.501779359430605
5,outcome,0.5941729323308271,0.501779359430605
6,intent,0.6619047619047619,0.501779359430605
6,outcome,0.6261278195488721,0.501779359430605
7,intent,0.6545112781954887,0.501779359430605
7,outcome,0.5909147869674186,0.501779359430605
8,intent,0.8038220551378445,0.501779359430605
8,outcome,0.6725563909774437,0.501779359430605
9,intent,0.7899122807017543,0.501779359430605
9,outcome,0.5976817042606516,0.501779359430605
10,intent,0.8928571428571429,0.501779359430605
10,outcome,0.6050125313283209,0.501779359430605
11,intent,0.9216791979949874,0.501779359430605
11,outcome,0.7043233082706767,0.501779359430605
12,intent,0.9073934837092732,0.501779359430605
12,outcome,0.7578947368421053,0.501779359430605
13,intent,0.9109649122807018,0.501779359430605
13,outcome,0.7861528822055138,0.501779359430605
14,intent,0.9107142857142858,0.501779359430605
14,outcome,0.6904761904761905,0.501779359430605
15,intent,0.8964912280701753,0.501779359430605
15,outcome,0.7223057644110276,0.501779359430605
16,intent,0.875250626566416,0.501779359430605
16,outcome,0.6976190476190476,0.501779359430605
17,intent,0.8714285714285713,0.501779359430605
17,outcome,0.6833959899749373,0.501779359430605
18,intent,0.8142857142857143,0.501779359430605
18,outcome,0.6868421052631579,0.501779359430605
19,intent,0.8250626566416039,0.501779359430605
19,outcome,0.7404761904761905,0.501779359430605
20,intent,0.7898496240601504,0.501779359430605
20,outcome,0.6833333333333333,0.501779359430605
21,intent,0.7932957393483709,0.501779359430605
21,outcome,0.6872807017543859,0.501779359430605
22,intent,0.800689223057644,0.501779359430605
22,outcome,0.6546992481203008,0.501779359430605
23,intent,0.7969924812030075,0.501779359430605
23,outcome,0.6763784461152882,0.501779359430605
24,intent,0.7083959899749374,0.501779359430605
24,outcome,0.6299498746867168,0.501779359430605
