model,template,sample,story_id,source,condition,intent_label,outcome_label,raw_rating,norm_rating
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-COFFEE-neutral,YS2008,neutral,innocent,no_harm,2.4134,0.7067
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-COFFEE-accidental,YS2008,accidental,innocent,harm,2.4985,0.7493
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-COFFEE-attempted,YS2008,attempted,guilty,no_harm,2.3215,0.6607
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-COFFEE-intentional,YS2008,intentional,guilty,harm,2.481,0.7405
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-LAB-neutral,YS2008,neutral,innocent,no_harm,2.4548,0.7274
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-LAB-accidental,YS2008,accidental,innocent,harm,2.4071,0.7035
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-LAB-attempted,YS2008,attempted,guilty,no_harm,2.3861,0.6931
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-LAB-intentional,YS2008,intentional,guilty,harm,2.339,0.6695
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-JELLYFISH-neutral,YS2008,neutral,innocent,no_harm,2.3262,0.6631
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-JELLYFISH-accidental,YS2008,accidental,innocent,harm,2.4483,0.7242
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-JELLYFISH-attempted,YS2008,attempted,guilty,no_harm,2.3202,0.6601
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-JELLYFISH-intentional,YS2008,intentional,guilty,harm,2.3935,0.6967
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-BRIDGE-neutral,YS2008,neutral,innocent,no_harm,2.4952,0.7476
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-BRIDGE-accidental,YS2008,accidental,innocent,harm,2.5218,0.7609
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-BRIDGE-attempted,YS2008,attempted,guilty,no_harm,2.4544,0.7272
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-BRIDGE-intentional,YS2008,intentional,guilty,harm,2.4952,0.7476
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-POOL-neutral,YS2008,neutral,innocent,no_harm,2.4854,0.7427
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-POOL-accidental,YS2008,accidental,innocent,harm,2.481,0.7405
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-POOL-attempted,YS2008,attempted,guilty,no_harm,2.5116,0.7558
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-POOL-intentional,YS2008,intentional,guilty,harm,2.5154,0.7577
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-MUSHROOMS-neutral,YS2008,neutral,innocent,no_harm,2.4909,0.7455
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-MUSHROOMS-accidental,YS2008,accidental,innocent,harm,2.5116,0.7558
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-MUSHROOMS-attempted,YS2008,attempted,guilty,no_harm,2.4635,0.7318
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-MUSHROOMS-intentional,YS2008,intentional,guilty,harm,2.4751,0.7376
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-LATEX-neutral,YS2008,neutral,innocent,no_harm,2.2482,0.6241
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-LATEX-accidental,YS2008,accidental,innocent,harm,2.4337,0.7169
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-LATEX-attempted,YS2008,attempted,guilty,no_harm,2.3137,0.6568
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-LATEX-intentional,YS2008,intentional,guilty,harm,2.38,0.69
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-MOTORBOAT-neutral,YS2008,neutral,innocent,no_harm,2.5915,0.7957
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-MOTORBOAT-accidental,YS2008,accidental,innocent,harm,2.6652,0.8326
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-MOTORBOAT-attempted,YS2008,attempted,guilty,no_harm,2.6429,0.8214
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-MOTORBOAT-intentional,YS2008,intentional,guilty,harm,2.6592,0.8296
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-ASTHMA-neutral,YS2008,neutral,innocent,no_harm,2.3878,0.6939
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-ASTHMA-accidental,YS2008,accidental,innocent,harm,2.3593,0.6796
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-ASTHMA-attempted,YS2008,attempted,guilty,no_harm,2.3819,0.691
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-ASTHMA-intentional,YS2008,intentional,guilty,harm,2.2381,0.619
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-VITAMIN-neutral,YS2008,neutral,innocent,no_harm,2.3689,0.6845
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-VITAMIN-accidental,YS2008,accidental,innocent,harm,2.387,0.6935
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-VITAMIN-attempted,YS2008,attempted,guilty,no_harm,2.3642,0.6821
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-VITAMIN-intentional,YS2008,intentional,guilty,harm,2.3689,0.6845
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-SESAME-neutral,YS2008,neutral,innocent,no_harm,2.3423,0.6712
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-SESAME-accidental,YS2008,accidental,innocent,harm,2.4439,0.7219
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-SESAME-attempted,YS2008,attempted,guilty,no_harm,2.37,0.685
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-SESAME-intentional,YS2008,intentional,guilty,harm,2.4363,0.7182
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-BIKE-neutral,YS2008,neutral,innocent,no_harm,2.5471,0.7735
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-BIKE-accidental,YS2008,accidental,innocent,harm,2.5989,0.7994
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-BIKE-attempted,YS2008,attempted,guilty,no_harm,2.5116,0.7558
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-BIKE-intentional,YS2008,intentional,guilty,harm,2.5443,0.7722
Qwen/Qwen2.5-3B,human_verbatim,0,YS2008-IRON-neutral,YS2008,neutral,innocent,no_harm,2.3379,0.669
