model,layer,is_peak,rel_depth,r_intent,r_outcome,partial_r_intent,partial_r_outcome,intent_org_ratio
OLMo-2-1124-7B,0,False,0.0,-0.004,0.0124,0.0018,0.018,0.0887
OLMo-2-1124-7B,8,False,0.25,0.0016,0.058,0.0075,0.0643,0.1042
OLMo-2-1124-7B,16,False,0.5,0.0143,0.0835,0.0204,0.0902,0.1842
OLMo-2-1124-7B,17,True,0.531,0.0104,0.0793,0.0163,0.086,0.1598
OLMo-2-1124-7B,24,False,0.75,0.0037,0.0576,0.0096,0.0639,0.1307
OLMo-2-1124-7B,32,False,1.0,-0.0014,0.0284,0.0044,0.0343,0.113
OLMo-2-1124-7B-Instruct,0,False,0.0,-0.004,0.0125,0.0018,0.0181,0.0896
OLMo-2-1124-7B-Instruct,8,False,0.25,0.0027,0.064,0.0085,0.0705,0.1082
OLMo-2-1124-7B-Instruct,16,True,0.5,0.0242,0.1206,0.0304,0.1279,0.192
OLMo-2-1124-7B-Instruct,24,False,0.75,0.0106,0.0885,0.0166,0.0953,0.1483
OLMo-2-1124-7B-Instruct,32,False,1.0,0.0037,0.0504,0.0095,0.0567,0.1441
Qwen2.5-0.5B,0,False,0.0,-0.0044,0.0053,0.0013,0.0108,0.1104
Qwen2.5-0.5B,6,False,0.25,-0.0035,0.0156,0.0022,0.0213,0.0951
Qwen2.5-0.5B,12,True,0.5,-0.0008,0.0367,0.005,0.0427,0.1042
Qwen2.5-0.5B,18,False,0.75,-0.0013,0.0441,0.0044,0.05,0.0807
Qwen2.5-0.5B,24,False,1.0,-0.0029,0.0271,0.0027,0.0328,0.0766
Qwen2.5-0.5B-Instruct,0,False,0.0,-0.0044,0.0051,0.0013,0.0106,0.1122
Qwen2.5-0.5B-Instruct,6,False,0.25,-0.0036,0.015,0.0022,0.0207,0.0959
Qwen2.5-0.5B-Instruct,12,True,0.5,-0.001,0.0337,0.0048,0.0397,0.1079
Qwen2.5-0.5B-Instruct,18,False,0.75,-0.0008,0.0405,0.0049,0.0464,0.0954
Qwen2.5-0.5B-Instruct,24,False,1.0,-0.0024,0.0282,0.0032,0.0339,0.0869
Qwen2.5-1.5B,0,False,0.0,-0.0043,0.0047,0.0014,0.0102,0.1239
Qwen2.5-1.5B,7,False,0.25,-0.0038,0.0144,0.002,0.0201,0.0885
Qwen2.5-1.5B,14,False,0.5,-0.0013,0.0344,0.0045,0.0404,0.0996
Qwen2.5-1.5B,17,True,0.607,-0.0007,0.0394,0.0051,0.0455,0.1016
Qwen2.5-1.5B,21,False,0.75,-0.0007,0.0401,0.0051,0.0461,0.0995
Qwen2.5-1.5B,28,False,1.0,-0.0015,0.0308,0.0043,0.0367,0.1048
Qwen2.5-1.5B-Instruct,0,False,0.0,-0.0043,0.0047,0.0014,0.0102,0.1232
Qwen2.5-1.5B-Instruct,7,False,0.25,-0.0038,0.0135,0.002,0.0192,0.0949
Qwen2.5-1.5B-Instruct,14,False,0.5,-0.0011,0.0318,0.0047,0.0378,0.1106
Qwen2.5-1.5B-Instruct,17,True,0.607,-0.0006,0.0367,0.0052,0.0427,0.1093
Qwen2.5-1.5B-Instruct,21,False,0.75,-0.0006,0.0385,0.0052,0.0446,0.1042
Qwen2.5-1.5B-Instruct,28,False,1.0,-0.0009,0.0309,0.0049,0.0368,0.1175
Qwen2.5-7B,0,False,0.0,-0.0029,0.0107,0.0028,0.0163,0.1481
Qwen2.5-7B,7,False,0.25,-0.003,0.0205,0.0027,0.0263,0.0943
Qwen2.5-7B,14,False,0.5,-0.0012,0.0378,0.0046,0.0438,0.0956
Qwen2.5-7B,18,True,0.643,0.0012,0.0487,0.007,0.0549,0.1134
Qwen2.5-7B,21,False,0.75,0.0017,0.0534,0.0075,0.0596,0.112
Qwen2.5-7B,28,False,1.0,-0.0009,0.0385,0.0049,0.0445,0.0991
Qwen2.5-7B-Instruct,0,False,0.0,-0.0029,0.0108,0.0028,0.0164,0.1482
Qwen2.5-7B-Instruct,7,False,0.25,-0.003,0.0189,0.0028,0.0246,0.1007
Qwen2.5-7B-Instruct,14,False,0.5,-0.0006,0.0402,0.0051,0.0463,0.1
Qwen2.5-7B-Instruct,18,True,0.643,0.0018,0.0514,0.0076,0.0576,0.1162
Qwen2.5-7B-Instruct,21,False,0.75,0.0015,0.0497,0.0073,0.0559,0.1154
Qwen2.5-7B-Instruct,28,False,1.0,-0.0004,0.0374,0.0055,0.0434,0.1117
