metric,value
intent_reliance_max,0.2949
intent_reliance_min,0.0137
intent_reliance_range,0.2812
iri_diff_human_verbatim__acceptable7,-0.1067
iri_diff_human_verbatim__blame_w1,-0.117
iri_diff_human_verbatim__blame_w2,-0.0604
iri_diff_human_verbatim__para_blame10,-0.1519
iri_diff_human_verbatim__para_blame4,-0.0403
iri_diff_human_verbatim__persona_adult7,-0.1311
iri_diff_human_verbatim__punish_w1,-0.2812
iri_diff_human_verbatim__punish_w2,-0.1896
iri_diff_human_verbatim__wrong_w1,-0.0843
iri_diff_human_verbatim__wrong_w2,-0.036
