metric,value
intent_reliance_max,0.2856
intent_reliance_min,0.0233
intent_reliance_range,0.2623
iri_diff_human_verbatim__acceptable7,0.208
iri_diff_human_verbatim__blame_w1,-0.0197
iri_diff_human_verbatim__blame_w2,0.0247
iri_diff_human_verbatim__para_blame10,0.2426
iri_diff_human_verbatim__para_blame4,0.1279
iri_diff_human_verbatim__persona_adult7,0.0319
iri_diff_human_verbatim__punish_w1,0.0059
iri_diff_human_verbatim__punish_w2,-0.0196
iri_diff_human_verbatim__wrong_w1,0.0701
iri_diff_human_verbatim__wrong_w2,0.0951
