layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5372,0.5,False
1,outcome,0.4833,0.5,False
2,intent,0.5989,0.5,False
2,outcome,0.5694,0.5,False
3,intent,0.5694,0.5,False
3,outcome,0.5244,0.5,False
4,intent,0.5372,0.5,False
4,outcome,0.515,0.5,False
5,intent,0.5761,0.5,False
5,outcome,0.5961,0.5,False
6,intent,0.5489,0.5,False
6,outcome,0.6394,0.5,False
7,intent,0.5494,0.5,False
7,outcome,0.5772,0.5,False
8,intent,0.5756,0.5,False
8,outcome,0.5783,0.5,False
9,intent,0.5961,0.5,False
9,outcome,0.5906,0.5,False
10,intent,0.5783,0.5,False
10,outcome,0.5744,0.5,False
11,intent,0.6439,0.5,False
11,outcome,0.6111,0.5,False
12,intent,0.6839,0.5,False
12,outcome,0.6422,0.5,False
13,intent,0.6689,0.5,False
13,outcome,0.6011,0.5,False
14,intent,0.6322,0.5,False
14,outcome,0.66,0.5,False
15,intent,0.66,0.5,False
15,outcome,0.7039,0.5,False
16,intent,0.6122,0.5,False
16,outcome,0.6878,0.5,False
17,intent,0.6306,0.5,False
17,outcome,0.67,0.5,False
18,intent,0.6183,0.5,False
18,outcome,0.665,0.5,False
19,intent,0.6244,0.5,False
19,outcome,0.6672,0.5,False
20,intent,0.6089,0.5,False
20,outcome,0.64,0.5,False
21,intent,0.6206,0.5,False
21,outcome,0.6428,0.5,False
22,intent,0.5906,0.5,False
22,outcome,0.605,0.5,False
23,intent,0.5533,0.5,False
23,outcome,0.6394,0.5,False
24,intent,0.5528,0.5,False
24,outcome,0.5983,0.5,False
