model,pooling,target,acc_layer0,sd,chance,degenerate
OLMo-2-1124-7B-Instruct,last,intent,0.5,0.0,0.5,False
OLMo-2-1124-7B-Instruct,last,outcome,0.5168,0.0149,0.5168,False
OLMo-2-1124-7B-Instruct,mean,intent,0.55,0.0333,0.5,False
OLMo-2-1124-7B-Instruct,mean,outcome,0.7892,0.0717,0.5168,False
OLMo-2-1124-7B,last,intent,0.5,0.0,0.5,False
OLMo-2-1124-7B,last,outcome,0.5168,0.0149,0.5168,False
OLMo-2-1124-7B,mean,intent,0.55,0.0333,0.5,False
OLMo-2-1124-7B,mean,outcome,0.7892,0.0717,0.5168,False
Qwen2.5-0.5B-Instruct,last,intent,0.5,0.0,0.5,False
Qwen2.5-0.5B-Instruct,last,outcome,0.5168,0.0149,0.5168,False
Qwen2.5-0.5B-Instruct,mean,intent,0.5402,0.008,0.5,False
Qwen2.5-0.5B-Instruct,mean,outcome,0.7386,0.0462,0.5168,False
Qwen2.5-0.5B,last,intent,0.5,0.0,0.5,False
Qwen2.5-0.5B,last,outcome,0.5168,0.0149,0.5168,False
Qwen2.5-0.5B,mean,intent,0.574,0.0234,0.5,False
Qwen2.5-0.5B,mean,outcome,0.7386,0.0462,0.5168,False
Qwen2.5-1.5B-Instruct,last,intent,0.5,0.0,0.5,False
Qwen2.5-1.5B-Instruct,last,outcome,0.5168,0.0149,0.5168,False
Qwen2.5-1.5B-Instruct,mean,intent,0.5768,0.0453,0.5,False
Qwen2.5-1.5B-Instruct,mean,outcome,0.8018,0.0422,0.5168,False
Qwen2.5-1.5B,last,intent,0.5,0.0,0.5,False
Qwen2.5-1.5B,last,outcome,0.5168,0.0149,0.5168,False
Qwen2.5-1.5B,mean,intent,0.5801,0.0451,0.5,False
Qwen2.5-1.5B,mean,outcome,0.8018,0.0422,0.5168,False
Qwen2.5-7B-Instruct,last,intent,0.5,0.0,0.5,False
Qwen2.5-7B-Instruct,last,outcome,0.5168,0.0149,0.5168,False
Qwen2.5-7B-Instruct,mean,intent,0.5639,0.0403,0.5,False
Qwen2.5-7B-Instruct,mean,outcome,0.8229,0.072,0.5168,False
Qwen2.5-7B,last,intent,0.5,0.0,0.5,False
Qwen2.5-7B,last,outcome,0.5168,0.0149,0.5168,False
Qwen2.5-7B,mean,intent,0.5639,0.0403,0.5,False
Qwen2.5-7B,mean,outcome,0.8229,0.072,0.5168,False
