layer,target,cv_acc,chance,degenerate
0,intent,0.5211,0.5,False
0,outcome,0.5,0.5,False
1,intent,0.6111,0.5,False
1,outcome,0.5206,0.5,False
2,intent,0.6317,0.5,False
2,outcome,0.5739,0.5,False
3,intent,0.6278,0.5,False
3,outcome,0.5628,0.5,False
4,intent,0.6072,0.5,False
4,outcome,0.5472,0.5,False
5,intent,0.6817,0.5,False
5,outcome,0.5783,0.5,False
6,intent,0.6622,0.5,False
6,outcome,0.6683,0.5,False
7,intent,0.6939,0.5,False
7,outcome,0.6322,0.5,False
8,intent,0.8317,0.5,False
8,outcome,0.6594,0.5,False
9,intent,0.8433,0.5,False
9,outcome,0.6822,0.5,False
10,intent,0.8744,0.5,False
10,outcome,0.6789,0.5,False
11,intent,0.9233,0.5,False
11,outcome,0.7233,0.5,False
12,intent,0.9339,0.5,False
12,outcome,0.7883,0.5,False
13,intent,0.9183,0.5,False
13,outcome,0.7572,0.5,False
14,intent,0.9289,0.5,False
14,outcome,0.7256,0.5,False
15,intent,0.9233,0.5,False
15,outcome,0.7461,0.5,False
16,intent,0.8794,0.5,False
16,outcome,0.6861,0.5,False
17,intent,0.8583,0.5,False
17,outcome,0.6639,0.5,False
18,intent,0.8589,0.5,False
18,outcome,0.6328,0.5,False
19,intent,0.8522,0.5,False
19,outcome,0.6961,0.5,False
20,intent,0.8217,0.5,False
20,outcome,0.6922,0.5,False
21,intent,0.8272,0.5,False
21,outcome,0.6944,0.5,False
22,intent,0.7739,0.5,False
22,outcome,0.6933,0.5,False
23,intent,0.7289,0.5,False
23,outcome,0.6111,0.5,False
24,intent,0.6956,0.5,False
24,outcome,0.57,0.5,False
