model,intent_YS2008_peak,intent_YS2008_topk,intent_YS2008_layer,intent_YS2008_chance,intent_YS2009_peak,intent_YS2009_topk,intent_YS2009_layer,intent_YS2009_chance,outcome_YS2008_peak,outcome_YS2008_topk,outcome_YS2008_layer,outcome_YS2008_chance,outcome_YS2009_peak,outcome_YS2009_topk,outcome_YS2009_layer,outcome_YS2009_chance
OLMo-2-1124-7B,0.9794,0.9763,16,0.5,0.98,0.98,11,0.5,0.9006,0.8915,16,0.5,0.8825,0.8542,16,0.5
OLMo-2-1124-7B-Instruct,0.9844,0.9841,19,0.5,0.9875,0.985,17,0.5,0.9272,0.9148,15,0.5,0.8275,0.8192,13,0.5
Qwen2.5-0.5B,0.9389,0.93,11,0.5,0.9325,0.8992,14,0.5,0.8011,0.7781,13,0.5,0.7525,0.7325,12,0.5
Qwen2.5-0.5B-Instruct,0.9339,0.9287,12,0.5,0.905,0.8917,14,0.5,0.7883,0.7639,12,0.5,0.785,0.7375,12,0.5
Qwen2.5-1.5B,0.9644,0.9624,18,0.5,0.96,0.9517,14,0.5,0.8228,0.802,14,0.5,0.82,0.7792,16,0.5
Qwen2.5-1.5B-Instruct,0.965,0.9598,17,0.5,0.96,0.9517,14,0.5,0.8422,0.8376,15,0.5,0.835,0.8283,18,0.5
Qwen2.5-7B,0.98,0.9763,20,0.5,1.0,0.9933,15,0.5,0.8867,0.8743,17,0.5,0.825,0.8067,19,0.5
Qwen2.5-7B-Instruct,0.98,0.9796,20,0.5,0.9775,0.9675,19,0.5,0.9067,0.8915,19,0.5,0.83,0.8275,17,0.5
,,,,,,,,,,,,,,,,
MEAN outcome (peak),,,,,,,,,diff=+0.0398,,,,sign_p=0.007812,,,
MEAN outcome (topk),,,,,,,,,diff=+0.0461,0.8442,,,sign_p=0.007812,0.7981,,
MEAN intent (peak),diff=+0.0029,,,,sign_p=0.7266,,,,,,,,,,,
MEAN intent (topk),diff=+0.0096,0.9621,,,sign_p=0.7266,0.9525,,,,,,,,,,
