layer,probe_name,cv_acc,cv_std,chance,n,degenerate
0,intent_noharm,0.5,0.0,0.5,144,True
1,intent_noharm,0.5681,0.0555,0.5,144,False
2,intent_noharm,0.569,0.0204,0.5,144,False
3,intent_noharm,0.5819,0.0583,0.5,144,False
4,intent_noharm,0.5843,0.0668,0.5,144,False
5,intent_noharm,0.589,0.0593,0.5,144,False
6,intent_noharm,0.5967,0.0601,0.5,144,False
7,intent_noharm,0.6467,0.0888,0.5,144,False
8,intent_noharm,0.6638,0.1011,0.5,144,False
9,intent_noharm,0.7776,0.07,0.5,144,False
10,intent_noharm,0.7919,0.0582,0.5,144,False
11,intent_noharm,0.8124,0.0801,0.5,144,False
12,intent_noharm,0.8819,0.0661,0.5,144,False
13,intent_noharm,0.8871,0.0695,0.5,144,False
14,intent_noharm,0.931,0.0671,0.5,144,False
15,intent_noharm,0.93,0.0671,0.5,144,False
16,intent_noharm,0.9286,0.0904,0.5,144,False
17,intent_noharm,0.9095,0.087,0.5,144,False
18,intent_noharm,0.8743,0.0805,0.5,144,False
19,intent_noharm,0.91,0.0725,0.5,144,False
20,intent_noharm,0.8967,0.0597,0.5,144,False
21,intent_noharm,0.8767,0.0931,0.5,144,False
22,intent_noharm,0.9024,0.0805,0.5,144,False
23,intent_noharm,0.89,0.0955,0.5,144,False
24,intent_noharm,0.9033,0.0809,0.5,144,False
25,intent_noharm,0.89,0.0803,0.5,144,False
26,intent_noharm,0.9176,0.0632,0.5,144,False
27,intent_noharm,0.891,0.0775,0.5,144,False
28,intent_noharm,0.891,0.0775,0.5,144,False
29,intent_noharm,0.9243,0.0813,0.5,144,False
30,intent_noharm,0.9176,0.0919,0.5,144,False
31,intent_noharm,0.9176,0.0919,0.5,144,False
32,intent_noharm,0.9176,0.0919,0.5,144,False
0,intent_harm,0.5,0.0,0.5,154,False
1,intent_harm,0.5258,0.0532,0.5,154,False
2,intent_harm,0.5196,0.0322,0.5,154,False
3,intent_harm,0.5571,0.0574,0.5,154,False
4,intent_harm,0.6021,0.0687,0.5,154,False
5,intent_harm,0.5833,0.0536,0.5,154,False
6,intent_harm,0.5508,0.073,0.5,154,False
7,intent_harm,0.5904,0.0476,0.5,154,False
8,intent_harm,0.6171,0.0343,0.5,154,False
9,intent_harm,0.7008,0.0678,0.5,154,False
10,intent_harm,0.7217,0.0729,0.5,154,False
11,intent_harm,0.7537,0.0397,0.5,154,False
12,intent_harm,0.7408,0.0632,0.5,154,False
13,intent_harm,0.7929,0.063,0.5,154,False
14,intent_harm,0.8204,0.0779,0.5,154,False
15,intent_harm,0.8267,0.0807,0.5,154,False
16,intent_harm,0.8463,0.085,0.5,154,False
17,intent_harm,0.8658,0.1011,0.5,154,False
18,intent_harm,0.8392,0.0768,0.5,154,False
19,intent_harm,0.8071,0.0782,0.5,154,False
20,intent_harm,0.7621,0.1034,0.5,154,False
21,intent_harm,0.7817,0.1023,0.5,154,False
22,intent_harm,0.7604,0.0897,0.5,154,False
23,intent_harm,0.7283,0.0753,0.5,154,False
24,intent_harm,0.695,0.0632,0.5,154,False
25,intent_harm,0.6833,0.0631,0.5,154,False
26,intent_harm,0.7558,0.0912,0.5,154,False
27,intent_harm,0.7038,0.0986,0.5,154,False
28,intent_harm,0.7496,0.0946,0.5,154,False
29,intent_harm,0.7492,0.0821,0.5,154,False
30,intent_harm,0.7492,0.0821,0.5,154,False
31,intent_harm,0.7167,0.0906,0.5,154,False
32,intent_harm,0.7296,0.0976,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.7657,0.0499,0.5168,149,False
2,outcome_innocent,0.8867,0.0777,0.5168,149,False
3,outcome_innocent,0.9267,0.068,0.5168,149,False
4,outcome_innocent,0.96,0.0249,0.5168,149,False
5,outcome_innocent,0.9798,0.0268,0.5168,149,False
6,outcome_innocent,0.9864,0.0166,0.5168,149,False
7,outcome_innocent,0.9933,0.0133,0.5168,149,False
8,outcome_innocent,0.9933,0.0133,0.5168,149,False
9,outcome_innocent,0.9731,0.0389,0.5168,149,False
10,outcome_innocent,0.9731,0.0389,0.5168,149,False
11,outcome_innocent,0.9798,0.0268,0.5168,149,False
12,outcome_innocent,0.9867,0.0267,0.5168,149,False
13,outcome_innocent,0.9867,0.0267,0.5168,149,False
14,outcome_innocent,0.9867,0.0267,0.5168,149,False
15,outcome_innocent,0.9867,0.0267,0.5168,149,False
16,outcome_innocent,0.9867,0.0267,0.5168,149,False
17,outcome_innocent,1.0,0.0,0.5168,149,False
