layer,target,cv_acc,chance,degenerate
0,intent,0.5207,0.5,False
0,outcome,0.5172,0.5172,False
1,intent,0.569,0.5,False
1,outcome,0.5069,0.5172,False
2,intent,0.5862,0.5,False
2,outcome,0.5655,0.5172,False
3,intent,0.5207,0.5,False
3,outcome,0.5828,0.5172,False
4,intent,0.5793,0.5,False
4,outcome,0.5828,0.5172,False
5,intent,0.7069,0.5,False
5,outcome,0.5897,0.5172,False
6,intent,0.669,0.5,False
6,outcome,0.6552,0.5172,False
7,intent,0.6828,0.5,False
7,outcome,0.6138,0.5172,False
8,intent,0.8,0.5,False
8,outcome,0.6414,0.5172,False
9,intent,0.8172,0.5,False
9,outcome,0.6069,0.5172,False
10,intent,0.8931,0.5,False
10,outcome,0.6103,0.5172,False
11,intent,0.8966,0.5,False
11,outcome,0.7241,0.5172,False
12,intent,0.8724,0.5,False
12,outcome,0.7931,0.5172,False
13,intent,0.8897,0.5,False
13,outcome,0.7759,0.5172,False
14,intent,0.9,0.5,False
14,outcome,0.7241,0.5172,False
15,intent,0.8897,0.5,False
15,outcome,0.6931,0.5172,False
16,intent,0.8517,0.5,False
16,outcome,0.7,0.5172,False
17,intent,0.8483,0.5,False
17,outcome,0.6793,0.5172,False
18,intent,0.8034,0.5,False
18,outcome,0.6759,0.5172,False
19,intent,0.7931,0.5,False
19,outcome,0.7207,0.5172,False
20,intent,0.7724,0.5,False
20,outcome,0.7069,0.5172,False
21,intent,0.7793,0.5,False
21,outcome,0.6897,0.5172,False
22,intent,0.7448,0.5,False
22,outcome,0.6793,0.5172,False
23,intent,0.7276,0.5,False
23,outcome,0.6862,0.5172,False
24,intent,0.669,0.5,False
24,outcome,0.6345,0.5172,False
