layer,target,cv_acc,chance,degenerate
0,intent,0.5,0.5,True
0,outcome,0.5,0.5,True
1,intent,0.5639,0.5,False
1,outcome,0.5817,0.5,False
2,intent,0.5367,0.5,False
2,outcome,0.5494,0.5,False
3,intent,0.5478,0.5,False
3,outcome,0.5856,0.5,False
4,intent,0.5794,0.5,False
4,outcome,0.565,0.5,False
5,intent,0.6139,0.5,False
5,outcome,0.5861,0.5,False
6,intent,0.6817,0.5,False
6,outcome,0.6283,0.5,False
7,intent,0.6317,0.5,False
7,outcome,0.5744,0.5,False
8,intent,0.6544,0.5,False
8,outcome,0.6061,0.5,False
9,intent,0.66,0.5,False
9,outcome,0.6283,0.5,False
10,intent,0.7006,0.5,False
10,outcome,0.6128,0.5,False
11,intent,0.7283,0.5,False
11,outcome,0.6278,0.5,False
12,intent,0.7672,0.5,False
12,outcome,0.6606,0.5,False
13,intent,0.7628,0.5,False
13,outcome,0.6961,0.5,False
14,intent,0.8261,0.5,False
14,outcome,0.7072,0.5,False
15,intent,0.8778,0.5,False
15,outcome,0.6867,0.5,False
16,intent,0.9211,0.5,False
16,outcome,0.67,0.5,False
17,intent,0.9061,0.5,False
17,outcome,0.7133,0.5,False
18,intent,0.9044,0.5,False
18,outcome,0.69,0.5,False
19,intent,0.8889,0.5,False
19,outcome,0.7339,0.5,False
20,intent,0.8622,0.5,False
20,outcome,0.7828,0.5,False
21,intent,0.8417,0.5,False
21,outcome,0.7683,0.5,False
22,intent,0.8306,0.5,False
22,outcome,0.7406,0.5,False
23,intent,0.8028,0.5,False
23,outcome,0.73,0.5,False
24,intent,0.8083,0.5,False
24,outcome,0.7306,0.5,False
25,intent,0.7756,0.5,False
25,outcome,0.735,0.5,False
26,intent,0.78,0.5,False
26,outcome,0.7411,0.5,False
27,intent,0.7533,0.5,False
27,outcome,0.7039,0.5,False
28,intent,0.7428,0.5,False
28,outcome,0.6933,0.5,False
